word,english,transliteration,word_class,level,status,synonym_of,synonym_of_id,language
കേരളം,Kerala (south Indian state),kēraḷaṁ,noun,a1,synonym,തെക്ക് / ദക്ഷിണേന്ത്യ,198882,malayalam
സാംസ്കാരിക,cultural (related to culture),sāṁskārika,adjective,b1,synonym,സംഗീതപരമായ / സംഗീതസംബന്ധിയായ,200106,malayalam
ആചാരാനുഷ്ഠാനം,ritual (custom or observance),ācārānuṣṭhānaṁ,noun,b2,synonym,ആചാരം / പതിവ്,200231,malayalam
പരിമിതം,limited (restricted in scope or extent),parimitaṁ,adjective,b1,synonym,എത്രയായാലും,199921,malayalam
മറിച്ച്,"but (on the contrary, rather)",maṟicc,conjunction,b1,synonym,ആകാൻ പോകുന്നു / തുടങ്ങാറായി,197806,malayalam
നൂറ്റാണ്ടുകളായുള്ള,centuries-old (existing for many centuries),nūṟṟāṇṭukaḷāyuḷḷa,adjective,b2,synonym,ധാരാളം / ഒരുപാട് / ഏറെ,197803,malayalam
മാനവികത,humanity (quality of being human),mānavikata,noun,b1,synonym,പുരുഷൻ / ആൾ,198413,malayalam
സഹവർത്തിത്വം,coexistence (living peacefully together),sahavarttitvaṁ,noun,b2,synonym,ജീവിച്ചിരിക്കുന്ന / സജീവമായ,199377,malayalam
ഉദാത്തം,"sublime (noble, lofty, excellent)",udāttaṁ,adjective,c1,synonym,മികച്ച / ഗംഭീരമായ / കേമം / അതിഗംഭീരമായ,198146,malayalam
ബഹിസ്ഫുരണം,"manifestation (outward display, expression)",bahisphuraṇaṁ,noun,c2,synonym,അവതരണം / പ്രദർശനം,201730,malayalam
