english_word,word_class,telugu_translation,transliteration,verb_transitivity,level
"(It) is not (existence, location negation)",auxiliary verb,లేదు,lēdu,,a1
"(It) is not (identity, copula negation)",auxiliary verb,కాదు,kādu,,a1
a (meaning one),indefinite article,ఒక,oka,,a1
a few,determiner,కొన్ని / కొద్ది,konni / koddi,,a1
a few (some),adjective,కొన్ని / కొద్ది,konni / koddi,,a1
a lot (a large amount/quantity),determiner,చాలా / ఎక్కువ,cālā / ekkuva,,a1
"a lot (adverbial degree, very much)",adverb,చాలా / మిక్కిలి,cālā / mikkili,,a1
"a lot (quantifier, much/many)",adverb,చాలా / ఎక్కువ,cālā / ekkuva,,a1
about (approximately),preposition,సుమారు / దాదాపు,sumāru / dādāpu,,a1
about (concerning a topic),preposition,గురించి / సంబంధించి,guriṁci / saṁbaṁdhiṁci,,a1
about (on the verge of doing),preposition,బోవు,bōvu,,a1
about to (do X),preposition,బోవు,bōvu,,a1
above,preposition,పైన / మీద,paina / mīda,,a1
accounting,noun,అకౌంటింగ్ / లెక్కల శాస్త్రం / గణకశాస్త్రం,akauṁṭiṁg / lekkala śāstraṁ / gaṇakaśāstraṁ,,a1
across (moving from one side to the other),preposition,దాటి / అడ్డంగా,dāṭi / aḍḍaṁgā,,a1
across (on the opposite side),preposition,అవతలి వైపు / ఎదురుగా,avatali vaipu / edurugā,,a1
across (to the opposite side),adverb,అవతలికి / అటువైపు,avataliki / aṭuvaipu,,a1
action (a specific deed or act),noun,చర్య / కార్యం / పని,carya / kāryaṁ / pani,,a1
action (general activity or step),noun,కార్యాచరణ / చర్య / పని,kāryācaraṇa / carya / pani,,a1
activity (general state of action),noun,కార్యకలాపం / పని / చర్య,kāryakalāpaṁ / pani / carya,,a1
activity (task or event),noun,కార్యక్రమం / కార్యకలాపం / పని,kāryakramaṁ / kāryakalāpaṁ / pani,,a1
actress,noun,నటి / హీరోయిన్,naṭi / hīrōyin,,a1
"adult (person, polite reference)",noun,పెద్దలు / వయోజనులు,peddalu / vayōjanulu,,a1
advice (authoritative guidance),noun,సలహా / సూచన / ఆదేశం,salahā / sūcana / ādēśaṁ,,a1
"advice (guidance, counsel)",noun,సలహా / సూచన / హితవు,salahā / sūcana / hitavu,,a1
"afraid (apologetic, reluctant)",adjective,సంకోచించే / వెనుకాడే / జంకే,saṁkōciṁcē / venukāḍē / jaṁkē,,a1
after (following time or event),preposition,తర్వాత / అనంతరం / పిమ్మట,tarvāta / anaṁtaraṁ / pimmaṭa,,a1
"after (upon completion, sequence)",preposition,తర్వాత / అయ్యాక / అనంతరం,tarvāta / ayyāka / anaṁtaraṁ,,a1
afternoon,noun,మధ్యాహ్నం,madhyāhnaṁ,,a1
again (one more time),adverb,మళ్ళీ / తిరిగి / ఇంకోసారి,maḷḷī / tirigi / iṁkōsāri,,a1
ago,adverb,క్రితం / పూర్వం,kritaṁ / pūrvaṁ,,a1
air (travel),noun,గాలి,gāli,,a1
airport,noun,ఎయిర్‌పోర్ట్ / విమానాశ్రయం,eyirpōrṭ / vimānāśrayaṁ,,a1
all (entire duration or quantity),determiner,అంతా / మొత్తం,aṁtā / mottaṁ,,a1
all (entire quantity/duration),determiner,అంతా / మొత్తం,aṁtā / mottaṁ,,a1
"all (people, everyone)",pronoun,అందరూ / అంతా,aṁdarū / aṁtā,,a1
also,adverb,కూడా / ఇంకా,kūḍā / iṁkā,,a1
always (at all times),adverb,ఎప్పుడూ / నిత్యం / సదా,eppuḍū / nityaṁ / sadā,,a1
"always (continuous state, stylistic)",adverb,ఎప్పుడూ / నిత్యం / సదా,eppuḍū / nityaṁ / sadā,,a1
"amazing (spectacular, awe-inspiring)",adjective,అద్భుతమైన / ఆశ్చర్యకరమైన / అమోఘమైన,adbhutamaina / āścaryakaramaina / amōghamaina,,a1
"amazing (wonderful, great)",adjective,అద్భుతమైన / గొప్ప / బాగున్న,adbhutamaina / goppa / bāgunna,,a1
and (general linking),conjunction,మరియు / ఇంకా,mariyu / iṁkā,,a1
angrily,adverb,కోపంగా / ఆగ్రహంగా,kōpaṁgā / āgrahaṁgā,,a1
"angry (common, annoyed)",adjective,కోపంగా ఉన్న / ఆగ్రహంగా ఉన్న / చిరాకు పడిన,kōpaṁgā unna / āgrahaṁgā unna / cirāku paḍina,,a1
another,determiner,ఇంకో / వేరే,iṁkō / vērē,,a1
another (a different one),pronoun,వేరొకటి / వేరొకరు / ఇంకొకటి,vērokaṭi / vērokaru / iṁkokaṭi,,a1
