english_word,word_class,level,verb_transitivity,translation,transliteration
"(It) is not (existence, location negation)",auxiliary verb,a1,,نَہِیں ہَے,nahīṁ hai
"(It) is not (identity, copula negation)",auxiliary verb,a1,,نَہِیں ہَے,nahīṁ hai
a (meaning one),indefinite article,a1,,ایکَ / کوئِی,ēk / kōī
a few,determiner,a1,,کُچھَ / تھوڑے سے / چَن٘دَ,kuch / thōṛē sē / caṁd
a few (some),adjective,a1,,کُچھَ / تھوڑے / چَن٘دَ,kuch / thōṛē / caṁd
a lot (a large amount/quantity),determiner,a1,,بَہُتَ / ڈھیرَ سَارَا / کَافِی,bahut / ḍhēr sārā / kāfī
"a lot (adverbial degree, very much)",adverb,a1,,بَہُتَ / کَافِی / بےئِن٘تِہَا,bahut / kāfī / bēiṁtihā
"a lot (quantifier, much/many)",adverb,a1,,بَہُتَ / ڈھیرَ سَارَا / کَافِی,bahut / ḍhēr sārā / kāfī
about (approximately),preposition,a1,,لَگَبھَگَ / قَرِیبَ / اَن٘دَازَنَ,lagabhag / qarīb / aṁdāzan
about (concerning a topic),preposition,a1,,کے بَارے میں / کے مُتَءاَلِّقَ / کے سِلَسِلے میں,kē bārē mēṁ / kē mutaalliq / kē silasilē mēṁ
about (on the verge of doing),preposition,a1,,وَالَا ہَے / کے قَرِیبَ ہَے,vālā hai / kē qarīb hai
about to (do X),preposition,a1,,وَالَا ہَے / کے قَرِیبَ ہَے,vālā hai / kē qarīb hai
above,preposition,a1,,اُوپَرَ / کے اُوپَرَ,ūpar / kē ūpar
accounting,noun,a1,,ہِسَابَ-کِتَابَ (m) / مُہَاسِبِی (f),hisāb-kitāb (m) / muhāsibī (f)
across (moving from one side to the other),preposition,a1,,کے پَارَ / اُسَ پَارَ,kē pār / us pār
across (on the opposite side),preposition,a1,,کے اُسَ پَارَ / سَامَنے,kē us pār / sāmanē
across (to the opposite side),adverb,a1,,اُسَ پَارَ / پَارَ,us pār / pār
action (a specific deed or act),noun,a1,,کَامَ (m) / اَمَلَ (m),kām (m) / amal (m)
