english_word,word_class,level,verb_transitivity,translation,transliteration
"(It) is not (existence, location negation)",auxiliary verb,a1,,नहीं है,nahīṁ hai
"(It) is not (identity, copula negation)",auxiliary verb,a1,,नहीं है,nahīṁ hai
a (meaning one),indefinite article,a1,,एक,ēk
a few,determiner,a1,,कुछ / थोड़े से,kuch / thōṛē sē
a few (some),adjective,a1,,कुछ / थोड़े,kuch / thōṛē
a lot (a large amount/quantity),determiner,a1,,बहुत सारा / ढेर सारा,bahut sārā / ḍhēr sārā
"a lot (adverbial degree, very much)",adverb,a1,,बहुत / काफ़ी,bahut / kāfī
"a lot (quantifier, much/many)",adverb,a1,,बहुत / ढेर सारा,bahut / ḍhēr sārā
about (approximately),preposition,a1,,लगभग / क़रीब,lagabhag / qarīb
about (concerning a topic),preposition,a1,,के बारे में / बाबत / मुतअल्लिक़,kē bārē mēṁ / bābat / mutaalliq
about (on the verge of doing),preposition,a1,,वाला / के कगार पर,vālā / kē kagār par
about to (do X),preposition,a1,,वाला / के कगार पर,vālā / kē kagār par
above,preposition,a1,,ऊपर / के ऊपर / से ऊपर,ūpar / kē ūpar / sē ūpar
accounting,noun,a1,,हिसाब-किताब (m) / मुहासिबा (m) / बही-खाता (m),hisāb-kitāb (m) / muhāsibā (m) / bahī-khātā (m)
across (moving from one side to the other),preposition,a1,,पार / के पार / के उस पार,pār / kē pār / kē us pār
across (on the opposite side),preposition,a1,,उस पार / के उस पार / सामने,us pār / kē us pār / sāmanē
across (to the opposite side),adverb,a1,,उस पार / पार,us pār / pār
action (a specific deed or act),noun,a1,,काम (m) / अमल (m) / फ़ेल (m),kām (m) / amal (m) / fēl (m)
action (general activity or step),noun,a1,,क़दम (m) / कार्रवाई (f) / अमल (m),qadam (m) / kārravāī (f) / amal (m)
activity (general state of action),noun,a1,,सरगर्मी (f) / गतिविधि (f) / क्रियाकलाप (m),saragarmī (f) / gatividhi (f) / kriyākalāp (m)
activity (task or event),noun,a1,,काम (m) / सरगर्मी (f) / फ़े'अल (m) / अमल (m),kām (m) / saragarmī (f) / fē'al (m) / amal (m)
actress,noun,a1,,ऐक्ट्रेस (f) / अदाकारा (f) / फ़नकारा (f),aikṭrēs (f) / adākārā (f) / fanakārā (f)
"adult (person, polite reference)",noun,a1,,बालिग़ (m) / सयाना (m) / अहल-ए-शुऊर (m),bāliġa (m) / sayānā (m) / ahal-ē-śuūr (m)
advice (authoritative guidance),noun,a1,,सलाह (f) / मशवरा (m) / हिदायत (f) / नसीहत (f),salāh (f) / maśavarā (m) / hidāyat (f) / nasīhat (f)
"advice (guidance, counsel)",noun,a1,,सलाह (f) / मशवरा (m) / नसीहत (f) / हिदायत (f),salāh (f) / maśavarā (m) / nasīhat (f) / hidāyat (f)
"afraid (apologetic, reluctant)",adjective,a1,,हिचकिचाता हुआ / झिझकता हुआ / मा'ज़िरत ख़्वाह / क़ासिर,hicakicātā huā / jhijhakatā huā / mā'zirat k͟hvāh / qāsir
after (following time or event),preposition,a1,,के बाद / बाद अज़ / पश्चात्,kē bād / bād az / paścāt
"after (upon completion, sequence)",preposition,a1,,के बाद / बाद अज़ / पश्चात्,kē bād / bād az / paścāt
afternoon,noun,a1,,दोपहर (f) / ज़ुहर (f) / बाद-दोपहर (f),dōpahar (f) / zuhar (f) / bād-dōpahar (f)
again (one more time),adverb,a1,,फिर से / दोबारा / मुकर्रर,phir sē / dōbārā / mukarrar
ago,adverb,a1,,पहले / क़ब्ल,pahalē / qabl
air (travel),noun,a1,,हवाई सफ़र (m) / हवाई परवाज़ (f),havāī safar (m) / havāī paravāz (f)
airport,noun,a1,,हवाई अड्डा (m) / हवाई जहाज़ का अड्डा (m),havāī aḍḍā (m) / havāī jahāz kā aḍḍā (m)
all (entire duration or quantity),determiner,a1,,सारा / पूरा / तमाम / कुल,sārā / pūrā / tamām / kul
all (entire quantity/duration),determiner,a1,,सारा / पूरा / तमाम / कुल,sārā / pūrā / tamām / kul
"all (people, everyone)",pronoun,a1,,सब / सभी / हर कोई / तमाम लोग,sab / sabhī / har kōī / tamām lōg
also,adverb,a1,,भी / और / इसके अलावा,bhī / aur / isakē alāvā
always (at all times),adverb,a1,,हमेशा / हर वक़्त / हरदम / मुस्तक़िल,hamēśā / har vaqt / haradam / mustaqil
