id,english_word,word_class,level,verb_transitivity,hindi_translation,urdu_translation,hindi_transliteration,urdu_transliteration
0,"(It) is not (existence, location negation)",auxiliary verb,a1,nan,नहीं है,नहीं है,nahīṁ hai,nahīṁ hai
1,"(It) is not (identity, copula negation)",auxiliary verb,a1,nan,नहीं है,नहीं है,nahīṁ hai,nahīṁ hai
2,a (meaning one),indefinite article,a1,nan,एक / कोई,एक / कोई,ēk / kōī,ēk / kōī
3,a few,determiner,a1,nan,कुछ / थोड़े से / चंद,कुछ / थोड़े से / चंद,kuch / thōṛē sē / caṁd,kuch / thōṛē sē / caṁd
4,a few (some),adjective,a1,nan,कुछ / थोड़े / चंद,कुछ / थोड़े / चंद,kuch / thōṛē / caṁd,kuch / thōṛē / caṁd
5,a lot (a large amount/quantity),determiner,a1,nan,बहुत / ढेर सारा / काफ़ी,बहुत / ढेर सारा / काफ़ी,bahut / ḍhēr sārā / kāfī,bahut / ḍhēr sārā / kāfī
6,"a lot (adverbial degree, very much)",adverb,a1,nan,बहुत / काफ़ी / अत्यधिक,बहुत / काफ़ी / बेइंतिहा,bahut / kāfī / atyadhik,bahut / kāfī / bēiṁtihā
7,"a lot (quantifier, much/many)",adverb,a1,nan,बहुत / ढेर सारा / काफ़ी,बहुत / ढेर सारा / काफ़ी,bahut / ḍhēr sārā / kāfī,bahut / ḍhēr sārā / kāfī
8,about (approximately),preposition,a1,nan,लगभग / क़रीब / अंदाज़न,लगभग / क़रीब / अंदाज़न,lagabhag / qarīb / aṁdāzan,lagabhag / qarīb / aṁdāzan
9,about (concerning a topic),preposition,a1,nan,के बारे में / के संबंध में / के विषय में,के बारे में / के मुतअल्लिक़ / के सिलसिले में,kē bārē mēṁ / kē saṁbaṁdh mēṁ / kē viṣay mēṁ,kē bārē mēṁ / kē mutaalliq / kē silasilē mēṁ
10,about (on the verge of doing),preposition,a1,nan,वाला है,वाला है / के क़रीब है,vālā hai,vālā hai / kē qarīb hai
11,about to (do X),preposition,a1,nan,वाला है,वाला है / के क़रीब है,vālā hai,vālā hai / kē qarīb hai
12,above,preposition,a1,nan,ऊपर / के ऊपर,ऊपर / के ऊपर,ūpar / kē ūpar,ūpar / kē ūpar
13,accounting,noun,a1,nan,हिसाब-किताब (m) / लेखांकन (m),हिसाब-किताब (m) / मुहासिबी (f),hisāb-kitāb (m) / lēkhāṁkan (m),hisāb-kitāb (m) / muhāsibī (f)
14,across (moving from one side to the other),preposition,a1,nan,के पार / उस पार,के पार / उस पार,kē pār / us pār,kē pār / us pār
15,across (on the opposite side),preposition,a1,nan,के उस पार / सामने,के उस पार / सामने,kē us pār / sāmanē,kē us pār / sāmanē
16,across (to the opposite side),adverb,a1,nan,उस पार / पार,उस पार / पार,us pār / pār,us pār / pār
17,action (a specific deed or act),noun,a1,nan,काम (m) / कार्य (m),काम (m) / अमल (m),kām (m) / kāry (m),kām (m) / amal (m)
18,action (general activity or step),noun,a1,nan,कार्यवाही (f) / क़दम (m),कार्यवाही (f) / क़दम (m),kāryavāhī (f) / qadam (m),kāryavāhī (f) / qadam (m)
19,activity (general state of action),noun,a1,nan,गतिविधि (f) / क्रियाकलाप (m),सरगर्मी (f) / गतिविधि (f),gatividhi (f) / kriyākalāp (m),saragarmī (f) / gatividhi (f)
20,activity (task or event),noun,a1,nan,गतिविधि (f) / क्रिया (f) / कार्य (m),सरगर्मी (f) / मशग़ला (m) / अमल (m),gatividhi (f) / kriyā (f) / kāry (m),saragarmī (f) / maśaġalā (m) / amal (m)
21,actress,noun,a1,nan,अभिनेत्री (f) / अदाकारा (f) / ऐक्ट्रेस (f),अदाकारा (f) / ऐक्ट्रेस (f) / फ़नकारा (f),abhinētrī (f) / adākārā (f) / aikṭrēs (f),adākārā (f) / aikṭrēs (f) / fanakārā (f)
22,"adult (person, polite reference)",noun,a1,nan,वयस्क (m) / बालिग़ (m) / प्रौढ़ (m),बालिग़ (m) / सयाना (m) / अहल-ए-शुऊर (m),vayask (m) / bāliġa (m) / prauṛh (m),bāliġa (m) / sayānā (m) / ahal-ē-śuūr (m)
23,advice (authoritative guidance),noun,a1,nan,सलाह (f) / परामर्श (m) / निर्देश (m),सलाह (f) / हिदायत (f) / मशवरा (m),salāh (f) / parāmarśa (m) / nirdēśa (m),salāh (f) / hidāyat (f) / maśavarā (m)
24,"advice (guidance, counsel)",noun,a1,nan,सलाह (f) / मशवरा (m) / राय (f),सलाह (f) / मशवरा (m) / नसीहत (f),salāh (f) / maśavarā (m) / rāy (f),salāh (f) / maśavarā (m) / nasīhat (f)
25,"afraid (apologetic, reluctant)",adjective,a1,nan,खेदपूर्ण / हिचकिचाता हुआ / संकोची,शर्मिंदा / हिचकिचाता हुआ / झिझकता हुआ,khēdapūrṇa / hicakicātā huā / saṁkōcī,śarmiṁdā / hicakicātā huā / jhijhakatā huā
