english_word,word_class,tamil_translation,transliteration,verb_transitivity,level
"(It) is not (existence, location negation)",auxiliary verb,இல்லை,illai,,a1
"(It) is not (identity, copula negation)",auxiliary verb,அல்ல,alla,,a1
a (meaning one),indefinite article,ஒரு,oru,,a1
a few,determiner,சில,cila,,a1
a few (some),adjective,சில,cila,,a1
a lot (a large amount/quantity),determiner,நிறைய / அதிகம் / பெருமளவு,niṟaiya / atikam / perumaḷavu,,a1
"a lot (adverbial degree, very much)",adverb,மிகவும் / நிறைய / அதிகம்,mikavum / niṟaiya / atikam,,a1
"a lot (quantifier, much/many)",adverb,நிறைய / அதிகம் / பல,niṟaiya / atikam / pala,,a1
about (approximately),preposition,சுமார் / கிட்டத்தட்ட,cumār / kiṭṭattaṭṭa,,a1
about (concerning a topic),preposition,பற்றி / குறித்து,paṟṟi / kuṟittu,,a1
about (on the verge of doing),preposition,தறுவாயில்,taṟuvāyil,,a1
about to (do X),preposition,செய்யவிருக்கும்,ceyyavirukkum,,a1
above,preposition,மேலே / மேல்,mēlē / mēl,,a1
accounting,noun,கணக்கியல் / கணக்குப்பதிவு,kaṇakkiyal / kaṇakkuppativu,,a1
across (moving from one side to the other),preposition,குறுக்கே / முழுவதும்,kuṟukkē / muḻuvatum,,a1
across (on the opposite side),preposition,எதிர்ப்புறம் / மறுபுறம்,etirppuṟam / maṟupuṟam,,a1
across (to the opposite side),adverb,அக்கரைக்கு / மறுபக்கம்,akkaraikku / maṟupakkam,,a1
action (a specific deed or act),noun,செயல் / நடவடிக்கை,ceyal / naṭavaṭikkai,,a1
action (general activity or step),noun,செயல் / நடவடிக்கை / செயற்பாடு,ceyal / naṭavaṭikkai / ceyaṟpāṭu,,a1
activity (general state of action),noun,செயல்பாடு / செயற்பாடு / நடவடிக்கை,ceyalpāṭu / ceyaṟpāṭu / naṭavaṭikkai,,a1
activity (task or event),noun,செயல்பாடு / நிகழ்வு / பணி,ceyalpāṭu / nikaḻvu / paṇi,,a1
actress,noun,நடிகை,naṭikai,,a1
"adult (person, polite reference)",noun,பெரியவர் / வயது வந்தவர்,periyavar / vayatu vantavar,,a1
advice (authoritative guidance),noun,ஆலோசனை / அறிவுரை / வழிகாட்டுதல்,ālōcaṉai / aṟivurai / vaḻikāṭṭutal,,a1
"advice (guidance, counsel)",noun,ஆலோசனை / அறிவுரை / வழிகாட்டல்,ālōcaṉai / aṟivurai / vaḻikāṭṭal,,a1
"afraid (apologetic, reluctant)",adjective,தயக்கமான / தயங்கும் / சங்கடமான,tayakkamāṉa / tayaṅkum / caṅkaṭamāṉa,,a1
after (following time or event),preposition,பிறகு / பின் / பின்னர்,piṟaku / piṉ / piṉṉar,,a1
"after (upon completion, sequence)",preposition,பிறகு / பின் / பின்னர்,piṟaku / piṉ / piṉṉar,,a1
afternoon,noun,பிற்பகல் / மாலை,piṟpakal / mālai,,a1
