english_word,word_class,level,verb_transitivity,translation,transliteration
"(It) is not (existence, location negation)",auxiliary verb,a2,,नहीं है,nahīṁ hai
"(It) is not (identity, copula negation)",auxiliary verb,a2,,नहीं है,nahīṁ hai
a (meaning one),indefinite article,a2,,एक / कोई,ēk / kōī
a few,determiner,a2,,कुछ / थोड़े से / चंद,kuch / thōṛē sē / caṁd
a few (some),adjective,a2,,कुछ / थोड़े / चंद,kuch / thōṛē / caṁd
a lot (a large amount/quantity),determiner,a2,,बहुत / ढेर सारा / काफ़ी,bahut / ḍhēr sārā / kāfī
"a lot (adverbial degree, very much)",adverb,a2,,बहुत / काफ़ी / अत्यधिक,bahut / kāfī / atyadhik
"a lot (quantifier, much/many)",adverb,a2,,बहुत / ढेर सारा / काफ़ी,bahut / ḍhēr sārā / kāfī
about (approximately),preposition,a2,,लगभग / क़रीब / अंदाज़न,lagabhag / qarīb / aṁdāzan
about (concerning a topic),preposition,a2,,के बारे में / के संबंध में / के विषय में,kē bārē mēṁ / kē saṁbaṁdh mēṁ / kē viṣay mēṁ
about (on the verge of doing),preposition,a2,,वाला है,vālā hai
about to (do X),preposition,a2,,वाला है,vālā hai
above,preposition,a2,,ऊपर / के ऊपर,ūpar / kē ūpar
accounting,noun,a2,,हिसाब-किताब (m) / लेखांकन (m),hisāb-kitāb (m) / lēkhāṁkan (m)
across (moving from one side to the other),preposition,a2,,के पार / उस पार,kē pār / us pār
across (on the opposite side),preposition,a2,,के उस पार / सामने,kē us pār / sāmanē
across (to the opposite side),adverb,a2,,उस पार / पार,us pār / pār
action (a specific deed or act),noun,a2,,काम (m) / कार्य (m),kām (m) / kāry (m)
action (general activity or step),noun,a2,,कार्यवाही (f) / क़दम (m),kāryavāhī (f) / qadam (m)
activity (general state of action),noun,a2,,गतिविधि (f) / क्रियाकलाप (m),gatividhi (f) / kriyākalāp (m)
activity (task or event),noun,a2,,गतिविधि (f) / क्रिया (f) / कार्य (m),gatividhi (f) / kriyā (f) / kāry (m)
actress,noun,a2,,अभिनेत्री (f) / अदाकारा (f) / ऐक्ट्रेस (f),abhinētrī (f) / adākārā (f) / aikṭrēs (f)
"adult (person, polite reference)",noun,a2,,वयस्क (m) / बालिग़ (m) / प्रौढ़ (m),vayask (m) / bāliġa (m) / prauṛh (m)
advice (authoritative guidance),noun,a2,,सलाह (f) / परामर्श (m) / निर्देश (m),salāh (f) / parāmarśa (m) / nirdēśa (m)
"advice (guidance, counsel)",noun,a2,,सलाह (f) / मशवरा (m) / राय (f),salāh (f) / maśavarā (m) / rāy (f)
"afraid (apologetic, reluctant)",adjective,a2,,खेदपूर्ण / हिचकिचाता हुआ / संकोची,khēdapūrṇa / hicakicātā huā / saṁkōcī
after (following time or event),preposition,a2,,के बाद / उपरांत / पश्चात,kē bād / uparāṁt / paścāt
"after (upon completion, sequence)",preposition,a2,,के बाद / उपरांत / पश्चात,kē bād / uparāṁt / paścāt
afternoon,noun,a2,,दोपहर (f) / अपराह्न (m),dōpahar (f) / aparāhn (m)
again (one more time),adverb,a2,,फिर / दोबारा / पुनः,phir / dōbārā / punaḥ
ago,adverb,a2,,पहले / पूर्व,pahalē / pūrv
air (travel),noun,a2,,हवाई यात्रा (f) / वायु यात्रा (f),havāī yātrā (f) / vāyu yātrā (f)
airport,noun,a2,,हवाई अड्डा (m) / विमानपत्तन (m),havāī aḍḍā (m) / vimānapattan (m)
all (entire duration or quantity),determiner,a2,,सारा / पूरा / समस्त,sārā / pūrā / samast
all (entire quantity/duration),determiner,a2,,सब / सारा / पूरा / समस्त,sab / sārā / pūrā / samast
"all (people, everyone)",pronoun,a2,,सब / सभी / हर कोई,sab / sabhī / har kōī
also,adverb,a2,,भी / और / इसके अलावा,bhī / aur / isakē alāvā
always (at all times),adverb,a2,,हमेशा / सदा / हर वक़्त,hamēśā / sadā / har vaqt
"always (continuous state, stylistic)",adverb,a2,,हमेशा / निरंतर / सदैव,hamēśā / niraṁtar / sadaiv
"amazing (spectacular, awe-inspiring)",adjective,a2,,कमाल का / शानदार / अद्भुत / विस्मयकारी,kamāl kā / śānadār / adbhut / vismayakārī
"amazing (wonderful, great)",adjective,a2,,कमाल का / शानदार / अद्भुत / विस्मयकारी,kamāl kā / śānadār / adbhut / vismayakārī
and (general linking),conjunction,a2,,और / तथा / एवं,aur / tathā / ēvaṁ
angrily,adverb,a2,,गुस्से से / नाराज़गी से / क्रोधपूर्वक,gussē sē / nārāzagī sē / krōdhapūrvak
"angry (common, annoyed)",adjective,a2,,गुस्सा / नाराज़ / क्रोधी / कुपित,gussā / nārāz / krōdhī / kupit
another,determiner,a2,,एक और / कोई और / दूसरा,ēk aur / kōī aur / dūsarā
another (a different one),pronoun,a2,,दूसरा / कोई और / अन्य,dūsarā / kōī aur / any
another (one more),pronoun,a2,,एक और / अन्य,ēk aur / any
"another (unspecified thing, item)",determiner,a2,,कोई और / दूसरा / अन्य,kōī aur / dūsarā / any
answer,noun,a2,,जवाब (m) / उत्तर (m) / प्रतिउत्तर (m),javāb (m) / uttar (m) / pratiuttar (m)
"any (choice, universal)",determiner,a2,,कोई भी / कोई / किसी भी,kōī bhī / kōī / kisī bhī
any (general selection),pronoun,a2,,कोई / कोई भी / कोई सा,kōī / kōī bhī / kōī sā
"any (in questions, negatives)",determiner,a2,,कोई / कुछ,kōī / kuch
any (indefinite quantity),determiner,a2,,कुछ / कोई,kuch / kōī
"any (item, choice)",pronoun,a2,,कोई / कोई भी / कोई सा,kōī / kōī bhī / kōī sā
"any (some, if)",pronoun,a2,,कुछ / कोई,kuch / kōī
"any (universal choice, usually in context)",determiner,a2,,कोई भी / जो कोई / कोई सा भी,kōī bhī / jō kōī / kōī sā bhī
any (zero quantity),pronoun,a2,,कुछ नहीं / कोई नहीं,kuch nahīṁ / kōī nahīṁ
"any (zero quantity, with negative verb)",pronoun,a2,,कोई / कुछ,kōī / kuch
"anyone (any person, affirmative)",pronoun,a2,,कोई भी / हर कोई,kōī bhī / har kōī
"anyone (in questions, negatives)",pronoun,a2,,कोई / कोई भी,kōī / kōī bhī
