english_word,word_class,telugu_translation,transliteration,verb_transitivity,level
"(It) is not (existence, location negation)",auxiliary verb,లేదు,lēdu,,a2
"(It) is not (identity, copula negation)",auxiliary verb,కాదు,kādu,,a2
a (meaning one),indefinite article,ఒక,oka,,a2
a few,determiner,కొన్ని / కొద్ది,konni / koddi,,a2
a few (some),adjective,కొన్ని / కొద్ది,konni / koddi,,a2
a lot (a large amount/quantity),determiner,చాలా / ఎక్కువ,cālā / ekkuva,,a2
"a lot (adverbial degree, very much)",adverb,చాలా / మిక్కిలి,cālā / mikkili,,a2
"a lot (quantifier, much/many)",adverb,చాలా / ఎక్కువ,cālā / ekkuva,,a2
about (approximately),preposition,సుమారు / దాదాపు,sumāru / dādāpu,,a2
about (concerning a topic),preposition,గురించి / సంబంధించి,guriṁci / saṁbaṁdhiṁci,,a2
about (on the verge of doing),preposition,బోవు,bōvu,,a2
about to (do X),preposition,బోవు,bōvu,,a2
above,preposition,పైన / మీద,paina / mīda,,a2
accounting,noun,అకౌంటింగ్ / లెక్కల శాస్త్రం / గణకశాస్త్రం,akauṁṭiṁg / lekkala śāstraṁ / gaṇakaśāstraṁ,,a2
across (moving from one side to the other),preposition,దాటి / అడ్డంగా,dāṭi / aḍḍaṁgā,,a2
across (on the opposite side),preposition,అవతలి వైపు / ఎదురుగా,avatali vaipu / edurugā,,a2
across (to the opposite side),adverb,అవతలికి / అటువైపు,avataliki / aṭuvaipu,,a2
action (a specific deed or act),noun,చర్య / కార్యం / పని,carya / kāryaṁ / pani,,a2
action (general activity or step),noun,కార్యాచరణ / చర్య / పని,kāryācaraṇa / carya / pani,,a2
activity (general state of action),noun,కార్యకలాపం / పని / చర్య,kāryakalāpaṁ / pani / carya,,a2
activity (task or event),noun,కార్యక్రమం / కార్యకలాపం / పని,kāryakramaṁ / kāryakalāpaṁ / pani,,a2
actress,noun,నటి / హీరోయిన్,naṭi / hīrōyin,,a2
"adult (person, polite reference)",noun,పెద్దలు / వయోజనులు,peddalu / vayōjanulu,,a2
advice (authoritative guidance),noun,సలహా / సూచన / ఆదేశం,salahā / sūcana / ādēśaṁ,,a2
"advice (guidance, counsel)",noun,సలహా / సూచన / హితవు,salahā / sūcana / hitavu,,a2
"afraid (apologetic, reluctant)",adjective,సంకోచించే / వెనుకాడే / జంకే,saṁkōciṁcē / venukāḍē / jaṁkē,,a2
after (following time or event),preposition,తర్వాత / అనంతరం / పిమ్మట,tarvāta / anaṁtaraṁ / pimmaṭa,,a2
"after (upon completion, sequence)",preposition,తర్వాత / అయ్యాక / అనంతరం,tarvāta / ayyāka / anaṁtaraṁ,,a2
afternoon,noun,మధ్యాహ్నం,madhyāhnaṁ,,a2
again (one more time),adverb,మళ్ళీ / తిరిగి / ఇంకోసారి,maḷḷī / tirigi / iṁkōsāri,,a2
ago,adverb,క్రితం / పూర్వం,kritaṁ / pūrvaṁ,,a2
air (travel),noun,గాలి,gāli,,a2
airport,noun,ఎయిర్‌పోర్ట్ / విమానాశ్రయం,eyirpōrṭ / vimānāśrayaṁ,,a2
all (entire duration or quantity),determiner,అంతా / మొత్తం,aṁtā / mottaṁ,,a2
all (entire quantity/duration),determiner,అంతా / మొత్తం,aṁtā / mottaṁ,,a2
"all (people, everyone)",pronoun,అందరూ / అంతా,aṁdarū / aṁtā,,a2
also,adverb,కూడా / ఇంకా,kūḍā / iṁkā,,a2
always (at all times),adverb,ఎప్పుడూ / నిత్యం / సదా,eppuḍū / nityaṁ / sadā,,a2
"always (continuous state, stylistic)",adverb,ఎప్పుడూ / నిత్యం / సదా,eppuḍū / nityaṁ / sadā,,a2
"amazing (spectacular, awe-inspiring)",adjective,అద్భుతమైన / ఆశ్చర్యకరమైన / అమోఘమైన,adbhutamaina / āścaryakaramaina / amōghamaina,,a2
"amazing (wonderful, great)",adjective,అద్భుతమైన / గొప్ప / బాగున్న,adbhutamaina / goppa / bāgunna,,a2
and (general linking),conjunction,మరియు / ఇంకా,mariyu / iṁkā,,a2
angrily,adverb,కోపంగా / ఆగ్రహంగా,kōpaṁgā / āgrahaṁgā,,a2
"angry (common, annoyed)",adjective,కోపంగా ఉన్న / ఆగ్రహంగా ఉన్న / చిరాకు పడిన,kōpaṁgā unna / āgrahaṁgā unna / cirāku paḍina,,a2
another,determiner,ఇంకో / వేరే,iṁkō / vērē,,a2
another (a different one),pronoun,వేరొకటి / వేరొకరు / ఇంకొకటి,vērokaṭi / vērokaru / iṁkokaṭi,,a2
another (one more),pronoun,ఇంకొకటి / ఇంకొకరు,iṁkokaṭi / iṁkokaru,,a2
"another (unspecified thing, item)",determiner,ఇంకో / వేరే,iṁkō / vērē,,a2
answer,noun,జవాబు / సమాధానం / బదులు,javābu / samādhānaṁ / badulu,,a2
"any (choice, universal)",determiner,ఏ / ఏదైనా,ē / ēdainā,,a2
any (general selection),pronoun,ఏదైనా / ఏది / ఏదేని,ēdainā / ēdi / ēdēni,,a2
"any (in questions, negatives)",determiner,ఏ,ē,,a2
any (indefinite quantity),determiner,కొంత / ఏమైనా,koṁta / ēmainā,,a2
"any (item, choice)",pronoun,ఏదైనా / ఏది / ఏదేని,ēdainā / ēdi / ēdēni,,a2
"any (some, if)",pronoun,ఏమైనా / కొంత,ēmainā / koṁta,,a2
"any (universal choice, usually in context)",determiner,ఏ / ప్రతి,ē / prati,,a2
any (zero quantity),pronoun,ఏమీ / ఏది,ēmī / ēdi,,a2
"any (zero quantity, with negative verb)",pronoun,ఏమీ / ఏది,ēmī / ēdi,,a2
"anyone (any person, affirmative)",pronoun,ఎవరైనా / ఎవరేని,evarainā / evarēni,,a2
"anyone (in questions, negatives)",pronoun,ఎవరైనా / ఎవరూ,evarainā / evarū,,a2
"anything (thing, object, general indefinite)",pronoun,ఏదైనా / ఏది / ఏమైనా,ēdainā / ēdi / ēmainā,,a2
anything (whatever the choice),pronoun,ఏదైనా / ఏది / ఏమైనా,ēdainā / ēdi / ēmainā,,a2
apartment,noun,అపార్ట్‌మెంట్ / ఫ్లాట్ / గృహం,apārṭmeṁṭ / phlāṭ / gr̥haṁ,,a2
apple,noun,ఆపిల్ / సేబు,āpil / sēbu,,a2
april,noun,ఏప్రిల్,ēpril,,a2
area (measurement),noun,విస్తీర్ణం / వైశాల్యం / ప్రాంతం,vistīrṇaṁ / vaiśālyaṁ / prāṁtaṁ,,a2
around (approximate time or quantity),preposition,సుమారు / దాదాపు / ఇంచుమించు,sumāru / dādāpu / iṁcumiṁcu,,a2
around (approximately),adverb,సుమారుగా / దాదాపుగా / ఇంచుమించుగా,sumārugā / dādāpugā / iṁcumiṁcugā,,a2
"around (movement, periphery)",adverb,చుట్టూ / నలువైపులా,cuṭṭū / naluvaipulā,,a2
around (nearby or in the vicinity),preposition,చుట్టూ / దగ్గర / పరిసరాల్లో,cuṭṭū / daggara / parisarāllō,,a2
"around (nearby, in the vicinity)",adverb,చుట్టూ / దగ్గరలో / పరిసరాల్లో,cuṭṭū / daggaralō / parisarāllō,,a2
around (surrounding something or moving in a circle),preposition,చుట్టూ / చుట్టుపక్కల,cuṭṭū / cuṭṭupakkala,,a2
arrow (projectile),noun,బాణం / శరం / అమ్ము,bāṇaṁ / śaraṁ / ammu,,a2
art (skill or technique),noun,కళ / నైపుణ్యం,kaḷa / naipuṇyaṁ,,a2
article (object),noun,వస్తువు / సరుకు,vastuvu / saruku,,a2
article (writing),noun,వ్యాసం / ఆర్టికల్ / లేఖనం,vyāsaṁ / ārṭikal / lēkhanaṁ,,a2
"artist (performer, general artiste)",noun,కళాకారుడు / ఆర్టిస్ట్,kaḷākāruḍu / ārṭisṭ,,a2
"artist (visual creator, e.g., painter)",noun,చిత్రకారుడు / కళాకారుడు / ఆర్టిస్ట్,citrakāruḍu / kaḷākāruḍu / ārṭisṭ,,a2
as (in the role of),preposition,గా,gā,,a2
"as (like, in the manner of)",preposition,వలె / లాగా,vale / lāgā,,a2
asleep (in slumber),adjective,నిద్రలో / నిద్రపోతున్న,nidralō / nidrapōtunna,,a2
"at (target, direction)",preposition,వద్ద / కు / పై,vadda / ku / pai,,a2
"at (time, moment)",preposition,కు / న,ku / na,,a2
august,noun,ఆగస్టు,āgasṭu,,a2
aunt (father's sister),noun,మేనత్త / అత్త,mēnatta / atta,,a2
aunt (mother's elder sister),noun,పెద్దమ్మ,peddamma,,a2
aunt (mother's younger sister),noun,పిన్ని,pinni,,a2
auto (common usage),noun,ఆటో,āṭō,,a2
autumn,noun,ఆకురాలు కాలం / శరత్కాలం,ākurālu kālaṁ / śaratkālaṁ,,a2
away (distance or absence),adverb,దూరంగా / దూరం,dūraṁgā / dūraṁ,,a2
away (into storage or hiding),adverb,దాచి / పక్కన,dāci / pakkana,,a2
baby,noun,పసిపాప / బిడ్డ / శిశువు,pasipāpa / biḍḍa / śiśuvu,,a2
baby (term of endearment),noun,బంగారం / బుజ్జి / నాన్న,baṁgāraṁ / bujji / nānna,,a2
back,adverb,వెనక్కి / తిరిగి,venakki / tirigi,,a2
back (rear side),noun,వెనుక / వీపు,venuka / vīpu,,a2
"bad (sick, unwell)",adjective,జబ్బుగా ఉన్న / అనారోగ్యంగా ఉన్న,jabbugā unna / anārōgyaṁgā unna,,a2
ball,noun,బంతి / బాల్ / గోళం,baṁti / bāl / gōḷaṁ,,a2
"banana (unripe, raw)",noun,అరటికాయ / పచ్చి అరటిపండు,araṭikāya / pacci araṭipaṁḍu,,a2
band (musical group),noun,బ్యాండ్ / బృందం,byāṁḍ / br̥ṁdaṁ,,a2
"bank (river, lake)",noun,గట్టు / ఒడ్డు / తీరం,gaṭṭu / oḍḍu / tīraṁ,,a2
bath,noun,స్నానం / తలస్నానం,snānaṁ / talasnānaṁ,,a2
beach,noun,బీచ్ / సముద్రతీరం / సముద్రపు ఒడ్డు,bīc / samudratīraṁ / samudrapu oḍḍu,,a2
beautiful,adjective,అందమైన / సుందరమైన / రమ్యమైన,aṁdamaina / suṁdaramaina / ramyamaina,,a2
because (clause connector),conjunction,ఎందుకంటే / కాబట్టి,eṁdukaṁṭē / kābaṭṭi,,a2
"because of (a noun, reason)",conjunction,వల్ల / కారణంగా,valla / kāraṇaṁgā,,a2
bed (planting area),noun,మడి,maḍi,,a2
bedroom,noun,పడకగది / శయనగది,paḍakagadi / śayanagadi,,a2
beer,noun,బీరు,bīru,,a2
before (time),preposition,ముందు / పూర్వం,muṁdu / pūrvaṁ,,a2
behind (at the rear),preposition,వెనుక,venuka,,a2
behind (delayed or late),adverb,ఆలస్యంగా,ālasyaṁgā,,a2
behind (remaining or lagging),preposition,వెనుకబడి / మిగిలి,venukabaḍi / migili,,a2
below (in a document or list),adverb,కింద / దిగువన,kiṁda / diguvana,,a2
below (less than a standard/value),preposition,కింద / తక్కువ,kiṁda / takkuva,,a2
below (less than),preposition,కంటే తక్కువ / కింద,kaṁṭē takkuva / kiṁda,,a2
below (spatially),preposition,కింద,kiṁda,,a2
better (in health),adjective,బాగుంది / నయం,bāguṁdi / nayaṁ,,a2
between,preposition,మధ్య,madhya,,a2
big,adjective,పెద్ద / గొప్ప / బృహత్,pedda / goppa / br̥hat,,a2
bike (bicycle),noun,సైకిల్,saikil,,a2
bill (bird's beak),noun,ముక్కు,mukku,,a2
bill (invoice),noun,బిల్లు / రసీదు / పట్టీ,billu / rasīdu / paṭṭī,,a2
bird (common),noun,పిట్ట,piṭṭa,,a2
"bird (general, formal)",noun,పక్షి,pakṣi,,a2
birthday,noun,పుట్టినరోజు / జన్మదినం,puṭṭinarōju / janmadinaṁ,,a2
black (color),noun,నలుపు / కృష్ణ,nalupu / kr̥ṣṇa,,a2
blog,noun,బ్లాగు,blāgu,,a2
blonde,adjective,లేత రంగు జుట్టు గల / బ్లౌండ్,lēta raṁgu juṭṭu gala / blauṁḍ,,a2
blue,noun,నీలం / నీలము,nīlaṁ / nīlamu,,a2
boat,noun,పడవ / నావ / ఓడ,paḍava / nāva / ōḍa,,a2
body,noun,శరీరం / దేహం / కాయం,śarīraṁ / dēhaṁ / kāyaṁ,,a2
book,noun,పుస్తకం / గ్రంథం / కితాబు,pustakaṁ / graṁthaṁ / kitābu,,a2
boot,noun,బూటు,būṭu,,a2
bored,adjective,విసుగు చెందిన / విసుగుగా ఉన్న,visugu ceṁdina / visugugā unna,,a2
"boring (tedious, dull)",adjective,విసుగు పుట్టించే / నీరసమైన / బోరింగ్,visugu puṭṭiṁcē / nīrasamaina / bōriṁg,,a2
both (modifying a noun),pronoun,రెండూ / ఇద్దరూ,reṁḍū / iddarū,,a2
both (people),determiner,ఇద్దరు,iddaru,,a2
bottle,noun,సీసా / బాటిల్,sīsā / bāṭil,,a2
box,noun,పెట్టె / బాక్స్,peṭṭe / bāks,,a2
boy,noun,అబ్బాయి / బాలుడు,abbāyi / bāluḍu,,a2
"boyfriend (casual, direct usage)",noun,బాయ్‌ఫ్రెండ్,bāyphreṁḍ,,a2
boyfriend (general),noun,బాయ్‌ఫ్రెండ్ / ప్రియుడు,bāyphreṁḍ / priyuḍu,,a2
bread,noun,రొట్టె / బ్రెడ్,roṭṭe / breḍ,,a2
bread (flatbread/roti),noun,రొట్టె,roṭṭe,,a2
"bread (general flatbread, roti)",noun,రొట్టె,roṭṭe,,a2
bread (Western style),noun,బ్రెడ్,breḍ,,a2
break (rest period),noun,విరామం / బ్రేక్,virāmaṁ / brēk,,a2
breakfast (common),noun,అల్పాహారం / బ్రేక్‌ఫాస్ట్,alpāhāraṁ / brēkphāsṭ,,a2
breakfast (formal),noun,అల్పాహారం,alpāhāraṁ,,a2
brother (elder),noun,అన్నయ్య / అన్న,annayya / anna,,a2
brother (younger),noun,తమ్ముడు / అనుజుడు,tammuḍu / anujuḍu,,a2
brown,noun,గోధుమ రంగు / కాఫీ రంగు / కపిల వర్ణం,gōdhuma raṁgu / kāphī raṁgu / kapila varṇaṁ,,a2
brown (adjective),noun,గోధుమ రంగు / కాఫీ రంగు / కపిల వర్ణం,gōdhuma raṁgu / kāphī raṁgu / kapila varṇaṁ,,a2
building,noun,భవనం / కట్టడం / భవంతి,bhavanaṁ / kaṭṭaḍaṁ / bhavaṁti,,a2
bus,noun,బస్సు,bassu,,a2
"business (commercial enterprise, trade)",noun,వ్యాపారం / వర్తకం / బిజినెస్,vyāpāraṁ / vartakaṁ / bijines,,a2
"busy (crowded, bustling)",adjective,రద్దీగా ఉన్న / జనసమ్మర్దంగా ఉన్న,raddīgā unna / janasammardaṁgā unna,,a2
busy (telephone line engaged),adjective,బిజీ / లైన్ బిజీ,bijī / lain bijī,,a2
by (deadline),preposition,లోపు / కల్లా,lōpu / kallā,,a2
by (means of),preposition,ద్వారా / చేత,dvārā / cēta,,a2
"by (near, beside)",preposition,పక్కన / దగ్గర / సమీపంలో,pakkana / daggara / samīpaṁlō,,a2
bye (casual),noun,బై / వెళ్ళొస్తాను,bai / veḷḷostānu,,a2
bye (polite parting),exclamation,నమస్కారం / సెలవు / వెళ్ళొస్తాను,namaskāraṁ / selavu / veḷḷostānu,,a2
cafe,noun,కేఫ్ / కాఫీ షాప్,kēph / kāphī ṣāp,,a2
cake,noun,కేక్,kēk,,a2
"call (shout, cry)",noun,కేక / అరుపు / పిలుపు,kēka / arupu / pilupu,,a2
call (telephone),noun,కాల్ / ఫోన్ కాల్,kāl / phōn kāl,,a2
camera,noun,కెమెరా / ఛాయాగ్రహణి,kemerā / chāyāgrahaṇi,,a2
can (ability),modal verb,చేయగలుగు,cēyagalugu,,a2
"can (permission, request)",modal verb,అనుమతించు,anumatiṁcu,,a2
"cannot (be allowed to , prohibited)",modal verb,అనుమతించకు / వద్దు,anumatiṁcaku / vaddu,,a2
"capital (chief, of the main city)",adjective,ప్రధాన / ముఖ్య,pradhāna / mukhya,,a2
capital (city),noun,రాజధాని,rājadhāni,,a2
capital (financial assets),noun,మూలధనం / పెట్టుబడి,mūladhanaṁ / peṭṭubaḍi,,a2
capital (letter),adjective,పెద్ద / క్యాపిటల్,pedda / kyāpiṭal,,a2
car,noun,కారు,kāru,,a2
"card (greeting, post)",noun,కార్డు / శుభాకాంక్షల కార్డు,kārḍu / śubhākāṁkṣala kārḍu,,a2
"card (ID, Bank)",noun,కార్డు / గుర్తింపు కార్డు,kārḍu / gurtiṁpu kārḍu,,a2
career,noun,కెరీర్ / వృత్తి / ఉద్యోగం,kerīr / vr̥tti / udyōgaṁ,,a2
carrot,noun,క్యారెట్,kyāreṭ,,a2
cat,noun,పిల్లి,pilli,,a2
cd,noun,సీడీ,sīḍī,,a2
cent (unit of land area),noun,సెంట్,seṁṭ,,a2
"centre (institution, hub)",noun,కేంద్రం / సెంటర్,kēṁdraṁ / seṁṭar,,a2
century (100 years),noun,శతాబ్దం,śatābdaṁ,,a2
century (cricket score),noun,సెంచరీ,seṁcarī,,a2
change (alteration),noun,మార్పు / పరివర్తన,mārpu / parivartana,,a2
change (money remainder),noun,చిల్లర,cillara,,a2
chart (map for navigation),noun,చార్ట్ / పటం,cārṭ / paṭaṁ,,a2
cheap (low cost),adjective,చవకైన / తక్కువ ధర గల,cavakaina / takkuva dhara gala,,a2
cheap (low quality),adjective,నాసిరకం / తక్కువ నాణ్యత గల,nāsirakaṁ / takkuva nāṇyata gala,,a2
"cheap (stingy, miserly)",adjective,పిసినారి / లోభి,pisināri / lōbhi,,a2
cheese,noun,చీజ్,cīj,,a2
chicken (animal),noun,కోడి,kōḍi,,a2
chicken (meat),noun,చికెన్ / కోడి మాంసం,ciken / kōḍi māṁsaṁ,,a2
chocolate,noun,చాక్లెట్,cākleṭ,,a2
city,noun,నగరం / పట్టణం,nagaraṁ / paṭṭaṇaṁ,,a2
class (category/type),noun,వర్గం / రకం,vargaṁ / rakaṁ,,a2
class (grade level),noun,తరగతి / క్లాస్,taragati / klās,,a2
"class (lesson, session)",noun,క్లాస్ / పాఠం,klās / pāṭhaṁ,,a2
class (social stratum),noun,వర్గం / శ్రేణి,vargaṁ / śrēṇi,,a2
classroom,noun,తరగతి గది / క్లాస్‌రూమ్,taragati gadi / klāsrūm,,a2
clock (wall or desk timepiece),noun,గడియారం / క్లాక్,gaḍiyāraṁ / klāk,,a2
"clothes (garments, apparel)",noun,బట్టలు / దుస్తులు / వస్త్రాలు,baṭṭalu / dustulu / vastrālu,,a2
club (organization),noun,క్లబ్ / సంఘం,klab / saṁghaṁ,,a2
club (venue),noun,క్లబ్,klab,,a2
coffee,noun,కాఫీ,kāphī,,a2
"cold (cool, refreshing)",adjective,చల్లని / శీతలమైన,callani / śītalamaina,,a2
cold (illness),noun,జలుబు / పడిశం,jalubu / paḍiśaṁ,,a2
cold (low temperature),noun,చలి / శీతలం,cali / śītalaṁ,,a2
"cold (temperature, unpleasant)",adjective,చల్లని / శీతలమైన,callani / śītalamaina,,a2
college,noun,కాలేజీ / కళాశాల,kālējī / kaḷāśāla,,a2
colour,noun,రంగు / వర్ణం,raṁgu / varṇaṁ,,a2
"common (general, frequent)",adjective,సాధారణ / సామాన్య / మామూలు,sādhāraṇa / sāmānya / māmūlu,,a2
"common (shared, joint)",adjective,ఉమ్మడి / సామాన్య,ummaḍi / sāmānya,,a2
company (business entity),noun,కంపెనీ / సంస్థ,kaṁpenī / saṁstha,,a2
"company (companionship, guests)",noun,సాంగత్యం / తోడు,sāṁgatyaṁ / tōḍu,,a2
"complete (total, entire)",adjective,పూర్తి / మొత్తం / సంపూర్ణ,pūrti / mottaṁ / saṁpūrṇa,,a2
computer,noun,కంప్యూటర్,kaṁpyūṭar,,a2
concert,noun,కాన్సర్ట్ / కచేరీ / సంగీత కచేరీ,kānsarṭ / kacērī / saṁgīta kacērī,,a2
conversation (casual chat),noun,సంభాషణ / ముచ్చట్లు / మాటలు,saṁbhāṣaṇa / muccaṭlu / māṭalu,,a2
cooking,noun,వంట / పాకశాస్త్రం,vaṁṭa / pākaśāstraṁ,,a2
cool (moderately cold),adjective,చల్లని / శీతలమైన,callani / śītalamaina,,a2
correct,adjective,సరైన / ఖచ్చితమైన / సక్రమమైన,saraina / khaccitamaina / sakramamaina,,a2
"cost (expenditure, expense)",noun,ఖర్చు / ధర / వ్యయం,kharcu / dhara / vyayaṁ,,a2
"cost (price, monetary value)",noun,ధర / ఖరీదు / వెల / మూల్యం,dhara / kharīdu / vela / mūlyaṁ,,a2
could (past ability),modal verb,గలిగె / సాధ్యమయ్యె,galige / sādhyamayye,,a2
could (polite request),modal verb,దయచేసి / గలరా,dayacēsi / galarā,,a2
could (possibility),modal verb,వచ్చు / కావచ్చు,vaccu / kāvaccu,,a2
country (nation),noun,దేశం / రాష్ట్రం,dēśaṁ / rāṣṭraṁ,,a2
country (rural area),noun,పల్లెటూరు / గ్రామీణ ప్రాంతం / పల్లె,palleṭūru / grāmīṇa prāṁtaṁ / palle,,a2
course (meal),noun,వంటకం / భాగం,vaṁṭakaṁ / bhāgaṁ,,a2
course (of study),noun,కోర్సు / పాఠ్య ప్రణాళిక / శిక్షణా కార్యక్రమం,kōrsu / pāṭhya praṇāḷika / śikṣaṇā kāryakramaṁ,,a2
"cousin (female, parallel cousin)",noun,అక్క / చెల్లి / కజిన్,akka / celli / kajin,,a2
"cousin (male, parallel cousin)",noun,అన్నయ్య / తమ్ముడు / కజిన్,annayya / tammuḍu / kajin,,a2
cow,noun,ఆవు / గోవు,āvu / gōvu,,a2
cream (lotion or ointment),noun,క్రీమ్ / లేపనం / మందు,krīm / lēpanaṁ / maṁdu,,a2
culture,noun,సంస్కృతి / ఆచారం,saṁskr̥ti / ācāraṁ,,a2
cup,noun,కప్పు / గిన్నె / పాత్ర,kappu / ginne / pātra,,a2
cup (loanword),noun,కప్పు,kappu,,a2
customer,noun,కస్టమర్ / వినియోగదారుడు / కొనుగోలుదారుడు,kasṭamar / viniyōgadāruḍu / konugōludāruḍu,,a2
cycle (vehicle),noun,సైకిల్ / ద్విచక్ర వాహనం,saikil / dvicakra vāhanaṁ,,a2
dad,noun,నాన్న / తండ్రి,nānna / taṁḍri,,a2
dad (common spoken),noun,నాన్న,nānna,,a2
dancer (female),noun,నర్తకి / నాట్యకారిణి / డ్యాన్సర్,nartaki / nāṭyakāriṇi / ḍyānsar,,a2
dancer (male),noun,నర్తకుడు / నాట్యకారుడు / డ్యాన్సర్,nartakuḍu / nāṭyakāruḍu / ḍyānsar,,a2
dancing (general act),noun,డ్యాన్స్ / నాట్యం / నృత్యం,ḍyāns / nāṭyaṁ / nr̥tyaṁ,,a2
"dancing (performance, classical)",noun,నాట్యం / నృత్యం,nāṭyaṁ / nr̥tyaṁ,,a2
dangerous,adjective,ప్రమాదకరమైన / భయంకరమైన / డేంజరస్,pramādakaramaina / bhayaṁkaramaina / ḍēṁjaras,,a2
dark (deep in color),adjective,ముదురు / నలుపు / గాఢమైన,muduru / nalupu / gāḍhamaina,,a2
date (calendar time),noun,తేదీ / దినాంకం,tēdī / dināṁkaṁ,,a2
date (fruit),noun,ఖర్జూరం,kharjūraṁ,,a2
daughter,noun,కూతురు / కుమార్తె / పుత్రిక,kūturu / kumārte / putrika,,a2
day (24-hour period),noun,రోజు / దినం,rōju / dinaṁ,,a2
