english_word,word_class,level,verb_transitivity,translation,transliteration
"(It) is not (existence, location negation)",auxiliary verb,a1,,नहीं है,nahīṁ hai
"(It) is not (identity, copula negation)",auxiliary verb,a1,,नहीं है,nahīṁ hai
a (meaning one),indefinite article,a1,,एक / कोई,ēk / kōī
a few,determiner,a1,,कुछ / थोड़े से / चंद,kuch / thōṛē sē / caṁd
a few (some),adjective,a1,,कुछ / थोड़े / चंद,kuch / thōṛē / caṁd
a lot (a large amount/quantity),determiner,a1,,बहुत / ढेर सारा / काफ़ी,bahut / ḍhēr sārā / kāfī
"a lot (adverbial degree, very much)",adverb,a1,,बहुत / काफ़ी / अत्यधिक,bahut / kāfī / atyadhik
"a lot (quantifier, much/many)",adverb,a1,,बहुत / ढेर सारा / काफ़ी,bahut / ḍhēr sārā / kāfī
about (approximately),preposition,a1,,लगभग / क़रीब / अंदाज़न,lagabhag / qarīb / aṁdāzan
about (concerning a topic),preposition,a1,,के बारे में / के संबंध में / के विषय में,kē bārē mēṁ / kē saṁbaṁdh mēṁ / kē viṣay mēṁ
about (on the verge of doing),preposition,a1,,वाला है,vālā hai
about to (do X),preposition,a1,,वाला है,vālā hai
above,preposition,a1,,ऊपर / के ऊपर,ūpar / kē ūpar
accounting,noun,a1,,हिसाब-किताब (m) / लेखांकन (m),hisāb-kitāb (m) / lēkhāṁkan (m)
across (moving from one side to the other),preposition,a1,,के पार / उस पार,kē pār / us pār
across (on the opposite side),preposition,a1,,के उस पार / सामने,kē us pār / sāmanē
across (to the opposite side),adverb,a1,,उस पार / पार,us pār / pār
action (a specific deed or act),noun,a1,,काम (m) / कार्य (m),kām (m) / kāry (m)
action (general activity or step),noun,a1,,कार्यवाही (f) / क़दम (m),kāryavāhī (f) / qadam (m)
activity (general state of action),noun,a1,,गतिविधि (f) / क्रियाकलाप (m),gatividhi (f) / kriyākalāp (m)
activity (task or event),noun,a1,,गतिविधि (f) / क्रिया (f) / कार्य (m),gatividhi (f) / kriyā (f) / kāry (m)
actress,noun,a1,,अभिनेत्री (f) / अदाकारा (f) / ऐक्ट्रेस (f),abhinētrī (f) / adākārā (f) / aikṭrēs (f)
"adult (person, polite reference)",noun,a1,,वयस्क (m) / बालिग़ (m) / प्रौढ़ (m),vayask (m) / bāliġa (m) / prauṛh (m)
advice (authoritative guidance),noun,a1,,सलाह (f) / परामर्श (m) / निर्देश (m),salāh (f) / parāmarśa (m) / nirdēśa (m)
"advice (guidance, counsel)",noun,a1,,सलाह (f) / मशवरा (m) / राय (f),salāh (f) / maśavarā (m) / rāy (f)
"afraid (apologetic, reluctant)",adjective,a1,,खेदपूर्ण / हिचकिचाता हुआ / संकोची,khēdapūrṇa / hicakicātā huā / saṁkōcī
after (following time or event),preposition,a1,,के बाद / उपरांत / पश्चात,kē bād / uparāṁt / paścāt
"after (upon completion, sequence)",preposition,a1,,के बाद / उपरांत / पश्चात,kē bād / uparāṁt / paścāt
afternoon,noun,a1,,दोपहर (f) / अपराह्न (m),dōpahar (f) / aparāhn (m)
again (one more time),adverb,a1,,फिर / दोबारा / पुनः,phir / dōbārā / punaḥ
ago,adverb,a1,,पहले / पूर्व,pahalē / pūrv
air (travel),noun,a1,,हवाई यात्रा (f) / वायु यात्रा (f),havāī yātrā (f) / vāyu yātrā (f)
airport,noun,a1,,हवाई अड्डा (m) / विमानपत्तन (m),havāī aḍḍā (m) / vimānapattan (m)
all (entire duration or quantity),determiner,a1,,सारा / पूरा / समस्त,sārā / pūrā / samast
all (entire quantity/duration),determiner,a1,,सब / सारा / पूरा / समस्त,sab / sārā / pūrā / samast
"all (people, everyone)",pronoun,a1,,सब / सभी / हर कोई,sab / sabhī / har kōī
also,adverb,a1,,भी / और / इसके अलावा,bhī / aur / isakē alāvā
always (at all times),adverb,a1,,हमेशा / सदा / हर वक़्त,hamēśā / sadā / har vaqt
"always (continuous state, stylistic)",adverb,a1,,हमेशा / निरंतर / सदैव,hamēśā / niraṁtar / sadaiv
"amazing (spectacular, awe-inspiring)",adjective,a1,,कमाल का / शानदार / अद्भुत / विस्मयकारी,kamāl kā / śānadār / adbhut / vismayakārī
"amazing (wonderful, great)",adjective,a1,,कमाल का / शानदार / अद्भुत / विस्मयकारी,kamāl kā / śānadār / adbhut / vismayakārī
and (general linking),conjunction,a1,,और / तथा / एवं,aur / tathā / ēvaṁ
angrily,adverb,a1,,गुस्से से / नाराज़गी से / क्रोधपूर्वक,gussē sē / nārāzagī sē / krōdhapūrvak
"angry (common, annoyed)",adjective,a1,,गुस्सा / नाराज़ / क्रोधी / कुपित,gussā / nārāz / krōdhī / kupit
another,determiner,a1,,एक और / कोई और / दूसरा,ēk aur / kōī aur / dūsarā
another (a different one),pronoun,a1,,दूसरा / कोई और / अन्य,dūsarā / kōī aur / any
another (one more),pronoun,a1,,एक और / अन्य,ēk aur / any
"another (unspecified thing, item)",determiner,a1,,कोई और / दूसरा / अन्य,kōī aur / dūsarā / any
answer,noun,a1,,जवाब (m) / उत्तर (m) / प्रतिउत्तर (m),javāb (m) / uttar (m) / pratiuttar (m)
"any (choice, universal)",determiner,a1,,कोई भी / कोई / किसी भी,kōī bhī / kōī / kisī bhī
any (general selection),pronoun,a1,,कोई / कोई भी / कोई सा,kōī / kōī bhī / kōī sā
"any (in questions, negatives)",determiner,a1,,कोई / कुछ,kōī / kuch
any (indefinite quantity),determiner,a1,,कुछ / कोई,kuch / kōī
"any (item, choice)",pronoun,a1,,कोई / कोई भी / कोई सा,kōī / kōī bhī / kōī sā
"any (some, if)",pronoun,a1,,कुछ / कोई,kuch / kōī
"any (universal choice, usually in context)",determiner,a1,,कोई भी / जो कोई / कोई सा भी,kōī bhī / jō kōī / kōī sā bhī
any (zero quantity),pronoun,a1,,कुछ नहीं / कोई नहीं,kuch nahīṁ / kōī nahīṁ
"any (zero quantity, with negative verb)",pronoun,a1,,कोई / कुछ,kōī / kuch
"anyone (any person, affirmative)",pronoun,a1,,कोई भी / हर कोई,kōī bhī / har kōī
"anyone (in questions, negatives)",pronoun,a1,,कोई / कोई भी,kōī / kōī bhī
"anything (thing, object, general indefinite)",pronoun,a1,,कुछ / कोई भी चीज़,kuch / kōī bhī cīz
anything (whatever the choice),pronoun,a1,,कुछ भी / जो कुछ भी,kuch bhī / jō kuch bhī
apartment,noun,a1,,फ़्लैट (m) / अपार्टमेंट (m) / आवास (m),flaiṭa (m) / apārṭamēṁṭa (m) / āvās (m)
apple,noun,a1,,सेब (m),sēb (m)
april,noun,a1,,अप्रैल (m),aprail (m)
area (measurement),noun,a1,,रकबा (m) / क्षेत्रफल (m),rakabā (m) / kṣētraphal (m)
around (approximate time or quantity),preposition,a1,,लगभग / क़रीब / आस-पास,lagabhag / qarīb / ās-pās
around (approximately),adverb,a1,,लगभग / क़रीब-क़रीब / अंदाज़न,lagabhag / qarīb-qarīb / aṁdāzan
