english_word,word_class,level,verb_transitivity,hindi_translation,urdu_translation,hindi_transliteration,urdu_transliteration
"(It) is not (existence, location negation)",auxiliary verb,a1,,नहीं है,नहीं है,nahīṁ hai,nahīṁ hai
"(It) is not (identity, copula negation)",auxiliary verb,a1,,नहीं है,नहीं है,nahīṁ hai,nahīṁ hai
a (meaning one),indefinite article,a1,,एक / कोई,एक / कोई,ēk / kōī,ēk / kōī
a few,determiner,a1,,कुछ / थोड़े से / चंद,कुछ / थोड़े से / चंद,kuch / thōṛē sē / caṁd,kuch / thōṛē sē / caṁd
a few (some),adjective,a1,,कुछ / थोड़े / चंद,कुछ / थोड़े / चंद,kuch / thōṛē / caṁd,kuch / thōṛē / caṁd
a lot (a large amount/quantity),determiner,a1,,बहुत / ढेर सारा / काफ़ी,बहुत / ढेर सारा / काफ़ी,bahut / ḍhēr sārā / kāfī,bahut / ḍhēr sārā / kāfī
"a lot (adverbial degree, very much)",adverb,a1,,बहुत / काफ़ी / अत्यधिक,बहुत / काफ़ी / बेइंतिहा,bahut / kāfī / atyadhik,bahut / kāfī / bēiṁtihā
"a lot (quantifier, much/many)",adverb,a1,,बहुत / ढेर सारा / काफ़ी,बहुत / ढेर सारा / काफ़ी,bahut / ḍhēr sārā / kāfī,bahut / ḍhēr sārā / kāfī
about (approximately),preposition,a1,,लगभग / क़रीब / अंदाज़न,लगभग / क़रीब / अंदाज़न,lagabhag / qarīb / aṁdāzan,lagabhag / qarīb / aṁdāzan
about (concerning a topic),preposition,a1,,के बारे में / के संबंध में / के विषय में,के बारे में / के मुतअल्लिक़ / के सिलसिले में,kē bārē mēṁ / kē saṁbaṁdh mēṁ / kē viṣay mēṁ,kē bārē mēṁ / kē mutaalliq / kē silasilē mēṁ
about (on the verge of doing),preposition,a1,,वाला है,वाला है / के क़रीब है,vālā hai,vālā hai / kē qarīb hai
about to (do X),preposition,a1,,वाला है,वाला है / के क़रीब है,vālā hai,vālā hai / kē qarīb hai
above,preposition,a1,,ऊपर / के ऊपर,ऊपर / के ऊपर,ūpar / kē ūpar,ūpar / kē ūpar
accounting,noun,a1,,हिसाब-किताब (m) / लेखांकन (m),हिसाब-किताब (m) / मुहासिबी (f),hisāb-kitāb (m) / lēkhāṁkan (m),hisāb-kitāb (m) / muhāsibī (f)
across (moving from one side to the other),preposition,a1,,के पार / उस पार,के पार / उस पार,kē pār / us pār,kē pār / us pār
across (on the opposite side),preposition,a1,,के उस पार / सामने,के उस पार / सामने,kē us pār / sāmanē,kē us pār / sāmanē
across (to the opposite side),adverb,a1,,उस पार / पार,उस पार / पार,us pār / pār,us pār / pār
action (a specific deed or act),noun,a1,,काम (m) / कार्य (m),काम (m) / अमल (m),kām (m) / kāry (m),kām (m) / amal (m)
action (general activity or step),noun,a1,,कार्यवाही (f) / क़दम (m),कार्यवाही (f) / क़दम (m),kāryavāhī (f) / qadam (m),kāryavāhī (f) / qadam (m)
activity (general state of action),noun,a1,,गतिविधि (f) / क्रियाकलाप (m),सरगर्मी (f) / गतिविधि (f),gatividhi (f) / kriyākalāp (m),saragarmī (f) / gatividhi (f)
activity (task or event),noun,a1,,गतिविधि (f) / क्रिया (f) / कार्य (m),सरगर्मी (f) / मशग़ला (m) / अमल (m),gatividhi (f) / kriyā (f) / kāry (m),saragarmī (f) / maśaġalā (m) / amal (m)
actress,noun,a1,,अभिनेत्री (f) / अदाकारा (f) / ऐक्ट्रेस (f),अदाकारा (f) / ऐक्ट्रेस (f) / फ़नकारा (f),abhinētrī (f) / adākārā (f) / aikṭrēs (f),adākārā (f) / aikṭrēs (f) / fanakārā (f)
"adult (person, polite reference)",noun,a1,,वयस्क (m) / बालिग़ (m) / प्रौढ़ (m),बालिग़ (m) / सयाना (m) / अहल-ए-शुऊर (m),vayask (m) / bāliġa (m) / prauṛh (m),bāliġa (m) / sayānā (m) / ahal-ē-śuūr (m)
advice (authoritative guidance),noun,a1,,सलाह (f) / परामर्श (m) / निर्देश (m),सलाह (f) / हिदायत (f) / मशवरा (m),salāh (f) / parāmarśa (m) / nirdēśa (m),salāh (f) / hidāyat (f) / maśavarā (m)
"advice (guidance, counsel)",noun,a1,,सलाह (f) / मशवरा (m) / राय (f),सलाह (f) / मशवरा (m) / नसीहत (f),salāh (f) / maśavarā (m) / rāy (f),salāh (f) / maśavarā (m) / nasīhat (f)
"afraid (apologetic, reluctant)",adjective,a1,,खेदपूर्ण / हिचकिचाता हुआ / संकोची,शर्मिंदा / हिचकिचाता हुआ / झिझकता हुआ,khēdapūrṇa / hicakicātā huā / saṁkōcī,śarmiṁdā / hicakicātā huā / jhijhakatā huā
after (following time or event),preposition,a1,,के बाद / उपरांत / पश्चात,के बाद / बाद अज़ / पश्चात्,kē bād / uparāṁt / paścāt,kē bād / bād az / paścāt
"after (upon completion, sequence)",preposition,a1,,के बाद / उपरांत / पश्चात,के बाद / बाद अज़ / पश्चात्,kē bād / uparāṁt / paścāt,kē bād / bād az / paścāt
afternoon,noun,a1,,दोपहर (f) / अपराह्न (m),दोपहर (f) / बाद दोपहर (f) / अपराह्न (m),dōpahar (f) / aparāhn (m),dōpahar (f) / bād dōpahar (f) / aparāhn (m)
again (one more time),adverb,a1,,फिर / दोबारा / पुनः,फिर / दोबारा / दुबारा,phir / dōbārā / punaḥ,phir / dōbārā / dubārā
ago,adverb,a1,,पहले / पूर्व,पहले / क़ब्ल,pahalē / pūrv,pahalē / qabl
air (travel),noun,a1,,हवाई यात्रा (f) / वायु यात्रा (f),हवाई सफ़र (m) / हवाई यात्रा (f),havāī yātrā (f) / vāyu yātrā (f),havāī safar (m) / havāī yātrā (f)
airport,noun,a1,,हवाई अड्डा (m) / विमानपत्तन (m),हवाई अड्डा (m) / फ़रोदगाह (f),havāī aḍḍā (m) / vimānapattan (m),havāī aḍḍā (m) / farōdagāh (f)
all (entire duration or quantity),determiner,a1,,सारा / पूरा / समस्त,सारा / पूरा / तमाम,sārā / pūrā / samast,sārā / pūrā / tamām
all (entire quantity/duration),determiner,a1,,सब / सारा / पूरा / समस्त,सब / सारा / पूरा / तमाम,sab / sārā / pūrā / samast,sab / sārā / pūrā / tamām
"all (people, everyone)",pronoun,a1,,सब / सभी / हर कोई,सब / सभी / हर कोई,sab / sabhī / har kōī,sab / sabhī / har kōī
also,adverb,a1,,भी / और / इसके अलावा,भी / और / इसके अलावा,bhī / aur / isakē alāvā,bhī / aur / isakē alāvā
always (at all times),adverb,a1,,हमेशा / सदा / हर वक़्त,हमेशा / सदा / हर वक़्त,hamēśā / sadā / har vaqt,hamēśā / sadā / har vaqt
"always (continuous state, stylistic)",adverb,a1,,हमेशा / निरंतर / सदैव,हमेशा / लगातार / मुस्तक़िल,hamēśā / niraṁtar / sadaiv,hamēśā / lagātār / mustaqil
"amazing (spectacular, awe-inspiring)",adjective,a1,,कमाल का / शानदार / अद्भुत / विस्मयकारी,कमाल का / शानदार / हैरत-अंगेज़ / हैरतनाक,kamāl kā / śānadār / adbhut / vismayakārī,kamāl kā / śānadār / hairat-aṁgēz / hairatanāk
"amazing (wonderful, great)",adjective,a1,,कमाल का / शानदार / अद्भुत / विस्मयकारी,कमाल का / शानदार / हैरत-अंगेज़ / अज़ीम,kamāl kā / śānadār / adbhut / vismayakārī,kamāl kā / śānadār / hairat-aṁgēz / azīm
and (general linking),conjunction,a1,,और / तथा / एवं,और / व / तथा,aur / tathā / ēvaṁ,aur / v / tathā
angrily,adverb,a1,,गुस्से से / नाराज़गी से / क्रोधपूर्वक,ग़ुस्से से / नाराज़गी से / बरहमी से,gussē sē / nārāzagī sē / krōdhapūrvak,ġussē sē / nārāzagī sē / barahamī sē
"angry (common, annoyed)",adjective,a1,,गुस्सा / नाराज़ / क्रोधी / कुपित,ग़ुस्से में / नाराज़ / ख़फ़ा / बरहम,gussā / nārāz / krōdhī / kupit,ġussē mēṁ / nārāz / k͟hafā / baraham
another,determiner,a1,,एक और / कोई और / दूसरा,एक और / कोई और / दूसरा / दीगर,ēk aur / kōī aur / dūsarā,ēk aur / kōī aur / dūsarā / dīgar
another (a different one),pronoun,a1,,दूसरा / कोई और / अन्य,दूसरा / कोई और / दीगर,dūsarā / kōī aur / any,dūsarā / kōī aur / dīgar
another (one more),pronoun,a1,,एक और / अन्य,एक और / दीगर,ēk aur / any,ēk aur / dīgar
"another (unspecified thing, item)",determiner,a1,,कोई और / दूसरा / अन्य,कोई और / दूसरा / दीगर,kōī aur / dūsarā / any,kōī aur / dūsarā / dīgar
