english_word,word_class,kannada_translation,transliteration,verb_transitivity,level
brother (younger),noun,ತಮ್ಮ / ತಮ್ಮಯ್ಯ,tamma / tammayya,,a1
brown,noun,ಕಂದು ಬಣ್ಣ / ಕಂದು,kaṁdu baṇṇa / kaṁdu,,a1
brown (adjective),noun,ಕಂದು / ಕಂದುಬಣ್ಣದ,kaṁdu / kaṁdubaṇṇada,,a1
building,noun,ಕಟ್ಟಡ / ಭವನ / ಸೌಧ,kaṭṭaḍa / bhavana / saudha,,a1
bus,noun,ಬಸ್ಸು,bassu,,a1
"business (commercial enterprise, trade)",noun,ವ್ಯಾಪಾರ / ವ್ಯವಹಾರ / ಉದ್ಯಮ,vyāpāra / vyavahāra / udyama,,a1
"busy (crowded, bustling)",adjective,ನಿರತ / ಕಾರ್ಯನಿರತ / ಜನನಿಬಿಡ,nirata / kāryanirata / jananibiḍa,,a1
busy (telephone line engaged),adjective,ಬಿಜಿ / ನಿರತ,biji / nirata,,a1
by (deadline),preposition,ಒಳಗೆ / ಮುನ್ನ,oḷage / munna,,a1
by (means of),preposition,ಮೂಲಕ / ಇಂದ,mūlaka / iṁda,,a1
"by (near, beside)",preposition,ಪಕ್ಕದಲ್ಲಿ / ಹತ್ತಿರ / ಬಳಿ,pakkadalli / hattira / baḷi,,a1
bye (casual),noun,ಬೈ / ಸಿಕ್ತೀನಿ / ಹೋಗಿ ಬರ್ತೀನಿ,bai / siktīni / hōgi bartīni,,a1
bye (polite parting),exclamation,ಬೈ / ನಮಸ್ಕಾರ / ಹೋಗಿ ಬನ್ನಿ,bai / namaskāra / hōgi banni,,a1
cafe,noun,ಕಾಫಿ ಅಂಗಡಿ / ಕ್ಯಾಫೆ / ಕಾಫಿ ಮನೆ,kāphi aṁgaḍi / kyāphe / kāphi mane,,a1
cake,noun,ಕೇಕ್,kēk,,a1
"call (shout, cry)",noun,ಕೂಗು / ಕರೆ / ಆಹ್ವಾನ,kūgu / kare / āhvāna,,a1
call (telephone),noun,ಫೋನ್ ಕರೆ / ಕರೆ / ದೂರವಾಣಿ ಕರೆ,phōn kare / kare / dūravāṇi kare,,a1
camera,noun,ಕ್ಯಾಮೆರಾ,kyāmerā,,a1
can (ability),modal verb,ಸಾಧ್ಯವಾಗು,sādhyavāgu,,a1
"can (permission, request)",modal verb,ಅನುಮತಿ ಕೊಡು / ಅವಕಾಶ ಕೊಡು,anumati koḍu / avakāśa koḍu,,a1
"cannot (be allowed to , prohibited)",modal verb,ಅನುಮತಿ ಇಲ್ಲ / ನಿಷಿದ್ಧ,anumati illa / niṣiddha,,a1
"capital (chief, of the main city)",adjective,ರಾಜಧಾನಿಯ / ಮುಖ್ಯ / ಪ್ರಧಾನ,rājadhāniya / mukhya / pradhāna,,a1
capital (city),noun,ರಾಜಧಾನಿ / ರಾಜ್ಯಧಾನಿ,rājadhāni / rājyadhāni,,a1
capital (financial assets),noun,ಬಂಡವಾಳ / ಮೂಲಧನ,baṁḍavāḷa / mūladhana,,a1
capital (letter),adjective,ದೊಡ್ಡ / ಕ್ಯಾಪಿಟಲ್,doḍḍa / kyāpiṭal,,a1
"hi ,  hey (casual greeting)",exclamation,ಹಾಯ್ / ಹೇ / ನಮಸ್ಕಾರ,hāy / hē / namaskāra,,a1
"sandal ,  slipper (open footwear)",noun,ಚಪ್ಪಲಿ / ಸ್ಯಾಂಡಲ್,cappali / syāṁḍal,,a1
"to smile ,  to laugh",verb,ನಗು / ಮುಗುಳುನಗೆ ಬೀರು,nagu / muguḷunage bīru,intransitive,a2
impact (collision),noun,ಡಿಕ್ಕಿ / ಘರ್ಷಣೆ,ḍikki / gharṣaṇe,,b1
impact (influence),noun,ಪರಿಣಾಮ / ಪ್ರಭಾವ,pariṇāma / prabhāva,,b1
"import (goods, trade)",noun,ಆಮದು,āmadu,,b1
"importance (significance, weight)",noun,ಪ್ರಾಮುಖ್ಯತೆ / ಮಹತ್ವ / ಅಗತ್ಯ,prāmukhyate / mahatva / agatya,,b1
impression (effect on mind),noun,ಪ್ರಭಾವ / ಪರಿಣಾಮ / ಅನುಭವ,prabhāva / pariṇāma / anubhava,,b1
"impression (opinion, view)",noun,ಅಭಿಪ್ರಾಯ / ಭಾವನೆ / ನಂಬಿಕೆ,abhiprāya / bhāvane / naṁbike,,b1
impression (physical mark),noun,ಮುದ್ರೆ / ಗುರುತು / ಅಚ್ಚು,mudre / gurutu / accu,,b1
impressive,adjective,ಪ್ರಭಾವಶಾಲಿ / ಅದ್ಭುತ / ಮೆಚ್ಚುವಂತಹ,prabhāvaśāli / adbhuta / meccuvaṁtaha,,b1
improvement,noun,ಸುಧಾರಣೆ / ಉತ್ತಮಗೊಳಿಸುವಿಕೆ / ಪ್ರಗತಿ,sudhāraṇe / uttamagoḷisuvike / pragati,,b1
"incredibly (extremely, very)",adverb,ತುಂಬಾ / ಬಹಳ / ಅತ್ಯಂತ,tuṁbā / bahaḷa / atyaṁta,,b1
incredibly (unbelievably),adverb,ನಂಬಲಾಗದಷ್ಟು / ನಂಬಲಸಾಧ್ಯವಾದಷ್ಟು,naṁbalāgadaṣṭu / naṁbalasādhyavādaṣṭu,,b1
indeed (to a high degree),adverb,ಖಂಡಿತವಾಗಿಯೂ / ಸತ್ಯವಾಗಿಯೂ,khaṁḍitavāgiyū / satyavāgiyū,,b1
"indeed (truly, in fact)",adverb,ನಿಜವಾಗಿಯೂ / ಖಂಡಿತವಾಗಿಯೂ / ವಾಸ್ತವವಾಗಿ,nijavāgiyū / khaṁḍitavāgiyū / vāstavavāgi,,b1
indirect,adjective,ಪರೋಕ್ಷ / ಅಪ್ರತ್ಯಕ್ಷ,parōkṣa / apratyakṣa,,b1
indoor,adjective,ಒಳಾಂಗಣದ / ಮನೆಯೊಳಗಿನ,oḷāṁgaṇada / maneyoḷagina,,b1
indoors,adverb,ಒಳಗೆ / ಮನೆಯೊಳಗೆ,oḷage / maneyoḷage,,b1
"industry (diligence, hard work)",noun,ಶ್ರದ್ಧೆ / ಪರಿಶ್ರಮ / ಉದ್ಯಮಶೀಲತೆ,śraddhe / pariśrama / udyamaśīlate,,b1
influence,noun,ಪ್ರಭಾವ / ಪರಿಣಾಮ,prabhāva / pariṇāma,,b1
"injured (feelings, pride)",adjective,ನೋವಾದ / ಘಾಸಿಗೊಂಡ / ಧಕ್ಕೆಯಾದ,nōvāda / ghāsigoṁḍa / dhakkeyāda,,b1
inner clothing,noun,ಒಳ ಉಡುಪು,oḷa uḍupu,,b1
"innocent (naive, pure)",adjective,ಮುಗ್ಧ / ನಿಷ್ಕಲ್ಮಷ / ಅಬಲೆ,mugdha / niṣkalmaṣa / abale,,b1
"innocent (not guilty, legally)",adjective,ನಿರಪರಾಧಿ / ನಿರ್ದೋಷಿ,niraparādhi / nirdōṣi,,b1
"inside (the inner part, interior)",noun,ಒಳಭಾಗ / ಒಳಮೈ / ಆಂತರಿಕ ಭಾಗ,oḷabhāga / oḷamai / āṁtarika bhāga,,b1
insurance claim,noun,ವಿಮಾ ಹಕ್ಕು / ಕ್ಲೈಮ್,vimā hakku / klaim,,b1
intention (firm resolve),noun,ಉದ್ದೇಶ / ನಿರ್ಧಾರ / ಸಂಕಲ್ಪ,uddēśa / nirdhāra / saṁkalpa,,b1
"neither (agreement ,  negative reply)",pronoun,ನಾನೂ ಇಲ್ಲ / ನಾನೂ ಸಹ ಇಲ್ಲ,nānū illa / nānū saha illa,,b1
upon (on top of),preposition,ಮೇಲೆ,mēle,,b1
upset (emotionally distressed),adjective,ವಿಚಲಿತ / ಬೇಸರಗೊಂಡ / ಅಸಮಾಧಾನಗೊಂಡ,vicalita / bēsaragoṁḍa / asamādhānagoṁḍa,,b1
"upset (physically ill, generally unwell)",adjective,ಅಸ್ವಸ್ಥ / ಅನಾರೋಗ್ಯಪೀಡಿತ,asvastha / anārōgyapīḍita,,b1
"upset (physically ill, stomach)",adjective,ಅಸ್ವಸ್ಥ / ಕೆಟ್ಟ,asvastha / keṭṭa,,b1
upset (stomach),adjective,ಹೊಟ್ಟೆ ಕೆಟ್ಟಿರುವ,hoṭṭe keṭṭiruva,,b1
"used (accustomed to, familiar with)",adjective,ರೂಢಿಯಾದ / ಅಭ್ಯಾಸವಾದ,rūḍhiyāda / abhyāsavāda,,b1
"used (not new, second-hand)",adjective,ಬಳಸಿದ / ಸೆಕಂಡ್ ಹ್ಯಾಂಡ್,baḷasida / sekaṁḍ hyāṁḍ,,b1
useless (without benefit),adjective,ನಿಷ್ಪ್ರಯೋಜಕ / ಪ್ರಯೋಜನವಿಲ್ಲದ / ವೇಸ್ಟ್,niṣprayōjaka / prayōjanavillada / vēsṭ,,b1
valuable (important),adjective,ಬೆಲೆಬಾಳುವ / ಅಮೂಲ್ಯ / ಮಹತ್ವದ,belebāḷuva / amūlya / mahatvada,,b1
value (importance),noun,ಮಹತ್ವ / ಪ್ರಾಮುಖ್ಯತೆ / ಮೌಲ್ಯ,mahatva / prāmukhyate / maulya,,b1
value (moral principle),noun,ಮೌಲ್ಯ / ತತ್ವ,maulya / tatva,,b1
"value (worth, price)",noun,ಬೆಲೆ / ಮೌಲ್ಯ / ಅರ್ಘ,bele / maulya / argha,,b1
various,adjective,ವಿವಿಧ / ನಾನಾ / ಹಲವು,vividha / nānā / halavu,,b1
"version (account, story)",noun,ಕಥನ / ನಿರೂಪಣೆ / ವೃತ್ತಾಂತ,kathana / nirūpaṇe / vr̥ttāṁta,,b1
"version (of software, product)",noun,ಆವೃತ್ತಿ,āvr̥tti,,b1
"victim (affected by disaster, tragedy)",noun,ಸಂತ್ರಸ್ತ,saṁtrasta,,b1
"victim (scapegoat, sacrificial)",noun,ಬಲಿಪಶು,balipaśu,,b1
"viewer (media, audience)",noun,ವೀಕ್ಷಕ / ಪ್ರೇಕ್ಷಕ,vīkṣaka / prēkṣaka,,b1
viewer (observer),noun,ನೋಡುವವನು / ಗಮನಿಸುವವನು / ವೀಕ್ಷಕ,nōḍuvavanu / gamanisuvavanu / vīkṣaka,,b1
villager (informal),noun,ಊರಿನವರು / ಹಳ್ಳಿಯವರು / ಗ್ರಾಮಸ್ಥರು,ūrinavaru / haḷḷiyavaru / grāmastharu,,b1
"violent (aggressive, forceful)",adjective,ಹಿಂಸಾತ್ಮಕ / ಕ್ರೂರ / ಆಕ್ರಮಣಕಾರಿ,hiṁsātmaka / krūra / ākramaṇakāri,,b1
"violent (intense, severe)",adjective,ತೀವ್ರ / ಉಗ್ರ / ಪ್ರಚಂಡ,tīvra / ugra / pracaṁḍa,,b1
"voice (opinion, influence)",noun,ಅಭಿಪ್ರಾಯ / ಧ್ವನಿ / ಮಾತು / ನಿಲುವು,abhiprāya / dhvani / mātu / niluvu,,b1
volume (loudness),noun,ಧ್ವನಿ / ಶಬ್ದ / ಸದ್ದು,dhvani / śabda / saddu,,b1
volunteer,noun,ಸ್ವಯಂಸೇವಕ,svayaṁsēvaka,,b1
"to merge (companies, organizations)",verb,ವಿಲೀನಗೊಳಿಸು / ಒಂದಾಗಿಸು,vilīnagoḷisu / oṁdāgisu,,c1
to minimize,verb,ಕಡಿಮೆಗೊಳಿಸು / ಕನಿಷ್ಠಗೊಳಿಸು,kaḍimegoḷisu / kaniṣṭhagoḷisu,,c1
