english_word,word_class,kannada_translation,transliteration,verb_transitivity,level
"hi ,  hey (casual greeting)",exclamation,ಹಾಯ್ / ಹೇ / ನಮಸ್ಕಾರ,hāy / hē / namaskāra,,a1
to,infinitive marker,ಲು,lu,,a1
"to smile ,  to laugh",verb,ನಗು / ಮುಗುಳುನಗೆ ಬೀರು,nagu / muguḷunage bīru,intransitive,a2
alternative (non-conventional),adjective,ಅಸಾಂಪ್ರದಾಯಿಕ / ಬೇರೆ ರೀತಿಯ / ವಿಭಿನ್ನ,asāṁpradāyika / bēre rītiya / vibhinna,,b1
amazed (awe-struck),adjective,ಆಶ್ಚರ್ಯಚಕಿತ / ವಿಸ್ಮಿತ / ದಿಗ್ಭ್ರಮೆಗೊಂಡ,āścaryacakita / vismita / digbhramegoṁḍa,,b1
ambition,noun,ಮಹತ್ವಾಕಾಂಕ್ಷೆ / ಆಕಾಂಕ್ಷೆ,mahatvākāṁkṣe / ākāṁkṣe,,b1
ambitious,adjective,ಮಹತ್ವಾಕಾಂಕ್ಷೆಯುಳ್ಳ / ಮಹತ್ವಾಕಾಂಕ್ಷಿ,mahatvākāṁkṣeyuḷḷa / mahatvākāṁkṣi,,b1
ambitious (person),adjective,ಮಹತ್ವಾಕಾಂಕ್ಷಿ,mahatvākāṁkṣi,,b1
analysis,noun,ವಿಶ್ಲೇಷಣೆ,viślēṣaṇe,,b1
announcement (formal decree),noun,ಘೋಷಣೆ / ಪ್ರಕಟಣೆ / ದಂಡೋರ,ghōṣaṇe / prakaṭaṇe / daṁḍōra,,b1
"announcement (notice, update)",noun,ಸೂಚನೆ / ಮಾಹಿತಿ / ಪ್ರಕಟಣೆ,sūcane / māhiti / prakaṭaṇe,,b1
annoyed,adjective,ಕಿರಿಕಿರಿಗೊಂಡ / ಸಿಟ್ಟು ಬಂದ / ಕೋಪಗೊಂಡ,kirikirigoṁḍa / siṭṭu baṁda / kōpagoṁḍa,,b1
