id,english_word,word_class,level,verb_transitivity,target_translation,transliteration
0,"(It) is not (existence, location negation)",auxiliary verb,a1,nan,இல்லை,illai
1,"(It) is not (identity, copula negation)",auxiliary verb,a1,nan,அல்ல,alla
2,a (meaning one),indefinite article,a1,nan,ஒரு,oru
3,a few,determiner,a1,nan,சில,cila
4,a few (some),adjective,a1,nan,சில,cila
5,a lot (a large amount/quantity),determiner,a1,nan,நிறைய / அதிகம் / பெருமளவு,niṟaiya / atikam / perumaḷavu
6,"a lot (adverbial degree, very much)",adverb,a1,nan,மிகவும் / நிறைய / அதிகம்,mikavum / niṟaiya / atikam
7,"a lot (quantifier, much/many)",adverb,a1,nan,நிறைய / அதிகம் / பல,niṟaiya / atikam / pala
8,about (approximately),preposition,a1,nan,சுமார் / கிட்டத்தட்ட,cumār / kiṭṭattaṭṭa
9,about (concerning a topic),preposition,a1,nan,பற்றி / குறித்து,paṟṟi / kuṟittu
10,about (on the verge of doing),preposition,a1,nan,தறுவாயில்,taṟuvāyil
11,about to (do X),preposition,a1,nan,செய்யவிருக்கும்,ceyyavirukkum
12,above,preposition,a1,nan,மேலே / மேல்,mēlē / mēl
13,accounting,noun,a1,nan,கணக்கியல் / கணக்குப்பதிவு,kaṇakkiyal / kaṇakkuppativu
14,across (moving from one side to the other),preposition,a1,nan,குறுக்கே / முழுவதும்,kuṟukkē / muḻuvatum
15,across (on the opposite side),preposition,a1,nan,எதிர்ப்புறம் / மறுபுறம்,etirppuṟam / maṟupuṟam
16,across (to the opposite side),adverb,a1,nan,அக்கரைக்கு / மறுபக்கம்,akkaraikku / maṟupakkam
17,action (a specific deed or act),noun,a1,nan,செயல் / நடவடிக்கை,ceyal / naṭavaṭikkai
18,action (general activity or step),noun,a1,nan,செயல் / நடவடிக்கை / செயற்பாடு,ceyal / naṭavaṭikkai / ceyaṟpāṭu
19,activity (general state of action),noun,a1,nan,செயல்பாடு / செயற்பாடு / நடவடிக்கை,ceyalpāṭu / ceyaṟpāṭu / naṭavaṭikkai
20,activity (task or event),noun,a1,nan,செயல்பாடு / நிகழ்வு / பணி,ceyalpāṭu / nikaḻvu / paṇi
21,actress,noun,a1,nan,நடிகை,naṭikai
22,"adult (person, polite reference)",noun,a1,nan,பெரியவர் / வயது வந்தவர்,periyavar / vayatu vantavar
23,advice (authoritative guidance),noun,a1,nan,ஆலோசனை / அறிவுரை / வழிகாட்டுதல்,ālōcaṉai / aṟivurai / vaḻikāṭṭutal
24,"advice (guidance, counsel)",noun,a1,nan,ஆலோசனை / அறிவுரை / வழிகாட்டல்,ālōcaṉai / aṟivurai / vaḻikāṭṭal
25,"afraid (apologetic, reluctant)",adjective,a1,N/A,தயக்கமான / தயங்கும் / சங்கடமான,tayakkamāṉa / tayaṅkum / caṅkaṭamāṉa
26,after (following time or event),preposition,a1,N/A,பிறகு / பின் / பின்னர்,piṟaku / piṉ / piṉṉar
27,"after (upon completion, sequence)",preposition,a1,N/A,பிறகு / பின் / பின்னர்,piṟaku / piṉ / piṉṉar
