id,english_word,word_class,level,verb_transitivity,target_translation,transliteration
0,"(It) is not (existence, location negation)",auxiliary verb,a1,nan,లేదు,lēdu
1,"(It) is not (identity, copula negation)",auxiliary verb,a1,nan,కాదు,kādu
2,a (meaning one),indefinite article,a1,nan,ఒక,oka
3,a few,determiner,a1,nan,కొన్ని / కొద్ది,konni / koddi
4,a few (some),adjective,a1,nan,కొన్ని / కొద్ది,konni / koddi
5,a lot (a large amount/quantity),determiner,a1,nan,చాలా / ఎక్కువ,cālā / ekkuva
6,"a lot (adverbial degree, very much)",adverb,a1,nan,చాలా / మిక్కిలి,cālā / mikkili
7,"a lot (quantifier, much/many)",adverb,a1,nan,చాలా / ఎక్కువ,cālā / ekkuva
8,about (approximately),preposition,a1,nan,సుమారు / దాదాపు,sumāru / dādāpu
9,about (concerning a topic),preposition,a1,nan,గురించి / సంబంధించి,guriṁci / saṁbaṁdhiṁci
10,about (on the verge of doing),preposition,a1,nan,బోవు,bōvu
11,about to (do X),preposition,a1,nan,బోవు,bōvu
12,above,preposition,a1,nan,పైన / మీద,paina / mīda
13,accounting,noun,a1,nan,అకౌంటింగ్ / లెక్కల శాస్త్రం / గణకశాస్త్రం,akauṁṭiṁg / lekkala śāstraṁ / gaṇakaśāstraṁ
14,across (moving from one side to the other),preposition,a1,nan,దాటి / అడ్డంగా,dāṭi / aḍḍaṁgā
15,across (on the opposite side),preposition,a1,nan,అవతలి వైపు / ఎదురుగా,avatali vaipu / edurugā
16,across (to the opposite side),adverb,a1,nan,అవతలికి / అటువైపు,avataliki / aṭuvaipu
17,action (a specific deed or act),noun,a1,nan,చర్య / కార్యం / పని,carya / kāryaṁ / pani
18,action (general activity or step),noun,a1,nan,కార్యాచరణ / చర్య / పని,kāryācaraṇa / carya / pani
19,activity (general state of action),noun,a1,nan,కార్యకలాపం / పని / చర్య,kāryakalāpaṁ / pani / carya
20,activity (task or event),noun,a1,nan,కార్యక్రమం / కార్యకలాపం / పని,kāryakramaṁ / kāryakalāpaṁ / pani
21,actress,noun,a1,nan,నటి / హీరోయిన్,naṭi / hīrōyin
22,"adult (person, polite reference)",noun,a1,nan,పెద్దలు / వయోజనులు,peddalu / vayōjanulu
23,advice (authoritative guidance),noun,a1,nan,సలహా / సూచన / ఆదేశం,salahā / sūcana / ādēśaṁ
24,"advice (guidance, counsel)",noun,a1,nan,సలహా / సూచన / హితవు,salahā / sūcana / hitavu
25,"afraid (apologetic, reluctant)",adjective,a1,nan,సంకోచించే / వెనుకాడే / జంకే,saṁkōciṁcē / venukāḍē / jaṁkē
26,after (following time or event),preposition,a1,nan,తర్వాత / అనంతరం / పిమ్మట,tarvāta / anaṁtaraṁ / pimmaṭa
27,"after (upon completion, sequence)",preposition,a1,nan,తర్వాత / అయ్యాక / అనంతరం,tarvāta / ayyāka / anaṁtaraṁ
28,afternoon,noun,a1,nan,మధ్యాహ్నం,madhyāhnaṁ
29,again (one more time),adverb,a1,nan,మళ్ళీ / తిరిగి / ఇంకోసారి,maḷḷī / tirigi / iṁkōsāri
30,ago,adverb,a1,nan,క్రితం / పూర్వం,kritaṁ / pūrvaṁ
31,air (travel),noun,a1,nan,గాలి,gāli
32,airport,noun,a1,nan,ఎయిర్‌పోర్ట్ / విమానాశ్రయం,eyirpōrṭ / vimānāśrayaṁ
33,all (entire duration or quantity),determiner,a1,nan,అంతా / మొత్తం,aṁtā / mottaṁ
34,all (entire quantity/duration),determiner,a1,nan,అంతా / మొత్తం,aṁtā / mottaṁ
35,"all (people, everyone)",pronoun,a1,nan,అందరూ / అంతా,aṁdarū / aṁtā
36,also,adverb,a1,nan,కూడా / ఇంకా,kūḍā / iṁkā
37,always (at all times),adverb,a1,nan,ఎప్పుడూ / నిత్యం / సదా,eppuḍū / nityaṁ / sadā
38,"always (continuous state, stylistic)",adverb,a1,nan,ఎప్పుడూ / నిత్యం / సదా,eppuḍū / nityaṁ / sadā
39,"amazing (spectacular, awe-inspiring)",adjective,a1,nan,అద్భుతమైన / ఆశ్చర్యకరమైన / అమోఘమైన,adbhutamaina / āścaryakaramaina / amōghamaina
40,"amazing (wonderful, great)",adjective,a1,nan,అద్భుతమైన / గొప్ప / బాగున్న,adbhutamaina / goppa / bāgunna
41,and (general linking),conjunction,a1,nan,మరియు / ఇంకా,mariyu / iṁkā
42,angrily,adverb,a1,nan,కోపంగా / ఆగ్రహంగా,kōpaṁgā / āgrahaṁgā
43,"angry (common, annoyed)",adjective,a1,nan,కోపంగా ఉన్న / ఆగ్రహంగా ఉన్న / చిరాకు పడిన,kōpaṁgā unna / āgrahaṁgā unna / cirāku paḍina
44,another,determiner,a1,nan,ఇంకో / వేరే,iṁkō / vērē
45,another (a different one),pronoun,a1,nan,వేరొకటి / వేరొకరు / ఇంకొకటి,vērokaṭi / vērokaru / iṁkokaṭi
46,another (one more),pronoun,a1,nan,ఇంకొకటి / ఇంకొకరు,iṁkokaṭi / iṁkokaru
47,"another (unspecified thing, item)",determiner,a1,nan,ఇంకో / వేరే,iṁkō / vērē
48,answer,noun,a1,nan,జవాబు / సమాధానం / బదులు,javābu / samādhānaṁ / badulu
49,"any (choice, universal)",determiner,a1,nan,ఏ / ఏదైనా,ē / ēdainā
50,any (general selection),pronoun,a1,nan,ఏదైనా / ఏది / ఏదేని,ēdainā / ēdi / ēdēni
51,"any (in questions, negatives)",determiner,a1,nan,ఏ,ē
52,any (indefinite quantity),determiner,a1,nan,కొంత / ఏమైనా,koṁta / ēmainā
53,"any (item, choice)",pronoun,a1,nan,ఏదైనా / ఏది / ఏదేని,ēdainā / ēdi / ēdēni
54,"any (some, if)",pronoun,a1,nan,ఏమైనా / కొంత,ēmainā / koṁta
55,"any (universal choice, usually in context)",determiner,a1,nan,ఏ / ప్రతి,ē / prati
56,any (zero quantity),pronoun,a1,nan,ఏమీ / ఏది,ēmī / ēdi
57,"any (zero quantity, with negative verb)",pronoun,a1,nan,ఏమీ / ఏది,ēmī / ēdi
58,"anyone (any person, affirmative)",pronoun,a1,nan,ఎవరైనా / ఎవరేని,evarainā / evarēni
59,"anyone (in questions, negatives)",pronoun,a1,nan,ఎవరైనా / ఎవరూ,evarainā / evarū
60,"anything (thing, object, general indefinite)",pronoun,a1,nan,ఏదైనా / ఏది / ఏమైనా,ēdainā / ēdi / ēmainā
61,anything (whatever the choice),pronoun,a1,nan,ఏదైనా / ఏది / ఏమైనా,ēdainā / ēdi / ēmainā
62,apartment,noun,a1,nan,అపార్ట్‌మెంట్ / ఫ్లాట్ / గృహం,apārṭmeṁṭ / phlāṭ / gr̥haṁ
63,apple,noun,a1,nan,ఆపిల్ / సేబు,āpil / sēbu
64,april,noun,a1,nan,ఏప్రిల్,ēpril
65,area (measurement),noun,a1,nan,విస్తీర్ణం / వైశాల్యం / ప్రాంతం,vistīrṇaṁ / vaiśālyaṁ / prāṁtaṁ
66,around (approximate time or quantity),preposition,a1,nan,సుమారు / దాదాపు / ఇంచుమించు,sumāru / dādāpu / iṁcumiṁcu
67,around (approximately),adverb,a1,nan,సుమారుగా / దాదాపుగా / ఇంచుమించుగా,sumārugā / dādāpugā / iṁcumiṁcugā
68,"around (movement, periphery)",adverb,a1,nan,చుట్టూ / నలువైపులా,cuṭṭū / naluvaipulā
69,around (nearby or in the vicinity),preposition,a1,nan,చుట్టూ / దగ్గర / పరిసరాల్లో,cuṭṭū / daggara / parisarāllō
70,"around (nearby, in the vicinity)",adverb,a1,nan,చుట్టూ / దగ్గరలో / పరిసరాల్లో,cuṭṭū / daggaralō / parisarāllō
71,around (surrounding something or moving in a circle),preposition,a1,nan,చుట్టూ / చుట్టుపక్కల,cuṭṭū / cuṭṭupakkala
72,arrow (projectile),noun,a1,nan,బాణం / శరం / అమ్ము,bāṇaṁ / śaraṁ / ammu
73,art (skill or technique),noun,a1,nan,కళ / నైపుణ్యం,kaḷa / naipuṇyaṁ
74,article (object),noun,a1,nan,వస్తువు / సరుకు,vastuvu / saruku
75,article (writing),noun,a1,nan,వ్యాసం / ఆర్టికల్ / లేఖనం,vyāsaṁ / ārṭikal / lēkhanaṁ
76,"artist (performer, general artiste)",noun,a1,nan,కళాకారుడు / ఆర్టిస్ట్,kaḷākāruḍu / ārṭisṭ
77,"artist (visual creator, e.g., painter)",noun,a1,nan,చిత్రకారుడు / కళాకారుడు / ఆర్టిస్ట్,citrakāruḍu / kaḷākāruḍu / ārṭisṭ
78,as (in the role of),preposition,a1,nan,గా,gā
79,"as (like, in the manner of)",preposition,a1,nan,వలె / లాగా,vale / lāgā
80,asleep (in slumber),adjective,a1,nan,నిద్రలో / నిద్రపోతున్న,nidralō / nidrapōtunna
81,"at (target, direction)",preposition,a1,nan,వద్ద / కు / పై,vadda / ku / pai
82,"at (time, moment)",preposition,a1,nan,కు / న,ku / na
83,august,noun,a1,nan,ఆగస్టు,āgasṭu
84,aunt (father's sister),noun,a1,nan,మేనత్త / అత్త,mēnatta / atta
85,aunt (mother's elder sister),noun,a1,nan,పెద్దమ్మ,peddamma
86,aunt (mother's younger sister),noun,a1,nan,పిన్ని,pinni
87,auto (common usage),noun,a1,nan,ఆటో,āṭō
88,autumn,noun,a1,nan,ఆకురాలు కాలం / శరత్కాలం,ākurālu kālaṁ / śaratkālaṁ
89,away (distance or absence),adverb,a1,nan,దూరంగా / దూరం,dūraṁgā / dūraṁ
90,away (into storage or hiding),adverb,a1,nan,దాచి / పక్కన,dāci / pakkana
91,baby,noun,a1,nan,పసిపాప / బిడ్డ / శిశువు,pasipāpa / biḍḍa / śiśuvu
92,baby (term of endearment),noun,a1,nan,బంగారం / బుజ్జి / నాన్న,baṁgāraṁ / bujji / nānna
93,back,adverb,a1,nan,వెనక్కి / తిరిగి,venakki / tirigi
94,back (rear side),noun,a1,nan,వెనుక / వీపు,venuka / vīpu
95,"bad (sick, unwell)",adjective,a1,nan,జబ్బుగా ఉన్న / అనారోగ్యంగా ఉన్న,jabbugā unna / anārōgyaṁgā unna
96,ball,noun,a1,nan,బంతి / బాల్ / గోళం,baṁti / bāl / gōḷaṁ
97,"banana (unripe, raw)",noun,a1,nan,అరటికాయ / పచ్చి అరటిపండు,araṭikāya / pacci araṭipaṁḍu
